Country,Latitude,Longitude,SiteID,Elevation,SiteName,Distance matrix lakes_Distance,Distance matrix rivers_Distance
Great Britain,51.9691,-5.0823,S1010,204,Abermawr I,1.814888052,1.662733349
Great Britain,51.68,-1.2613,S1011,124,Abingdon,4.349530906,0.290761311
Great Britain,50.9969,-0.8798,S1040,0,adjacent to barrows excavated 1973-5,3.798896494,0.960162785
Great Britain,56.9485,-7.5241,S1072,0,Alt Chrysal,1.804370184,1.930711519
Ireland,54.568,-7.0367,S1073,128,Altanagh,0.641169526,0.140272066
Great Britain,52.5563,-0.2902,S1075,0,Alton Longville,5.465979238,0.249973581
Great Britain,57.6368,-6.2042,S1081,160,An Corran,0.654733913,1.758929142
Great Britain,54.1014,-6.6173,S1087,0,Annaghmare,0.912949419,0.202496835
Great Britain,53.3446,-1.2053,S1089,124,Anston Stones Cave,4.289627768,0.474781956
Great Britain,51.4899,-0.2354,S1090,0,Hammersmith,4.499404615,0.677580055
Great Britain,51.5011,-0.1513,S1091,0,Antler mattock series,4.545087644,0.686096606
Ireland,52.8711,-8.1496,S1107,165,Ardcrony,1.012489287,0.304259949
Great Britain,55.9697,-4.9439,S1108,101,Ardnadam,0.319348879,0.666056554
Great Britain,53.2546,-1.9251,S1109,30,area with distinct areas of Meso and Neo occupation and structures,3.829047454,1.012297048
Ireland,54.3462,-6.662,S1120,38,Armagh,0.991742538,0.077902561
Great Britain,52.6056,1.30667,S1122,7,Arminghall,4.184216113,0.936394675
Great Britain,51.8561,-1.56584,S1127,122,Ascott-under-Wychwood,4.469292033,0.39428549
Ireland,52.933,-8.1885,S1130,272,Ashleypark,0.949960085,0.347975602
Great Britain,55.4749,-5.1728,S1150,253,Auchareoch,0.75024267,1.206671154
Great Britain,51.3193,-2.7507,S1167,205,Aveline's Hole,3.929514173,0.309557117
Great Britain,51.2279,-2.6703,S1182,113,Badger Hole,3.828117809,0.389057842
Great Britain,57.0536,-2.4402,S1188,0,Balbridie,1.64144402,1.075135602
Great Britain,56.2152,-3.153,S1189,0,Balfarg Riding School,0.937728226,0.227543687
Great Britain,54.2078,-4.6607,S1192,0,"Ballaharra, IOM",1.81088573,1.704975116
Ireland,52.9805,-6.6748,S1194,0,Ballintruer More,0.196313016,0.268416679
Ireland,52.1,-7.71667,S1196,0,Ballynamintra,1.558378235,0.21424951
Ireland,54.2836,-9.3866,S1197,84,Ballyglass,0.202199579,0.739710477
Ireland,55.0017,-6.4042,S1198,0,Ballymacaldrack,1.390208943,0.123548568
Ireland,54.1521,-6.3728,S1199,0,Ballymacdermot,0.960155567,0.412196976
Ireland,54.8216,-6.4579,S1200,0,Ballymena,1.270310353,0.01444176
Ireland,54.6958,-6.8475,S1201,0,Ballynagilly,0.86125403,0.287440332
Ireland,54.1521,-6.3728,S1202,0,Ballyutoag,0.960155567,0.412196976
Great Britain,53.2755,-1.5921,S1213,10,Bar Brook,4.047827346,0.750381858
Great Britain,58.9935,-3.2079,S1220,0,Barnhouse,1.533718732,2.334396597
Great Britain,51.6811,-1.25507,S1223,108,Barrow Hills,4.351936734,0.288136254
Ireland,54.702,-6.9373,S1247,124,Beaghmore,0.780399957,0.286877824
Great Britain,51.4083,-1.9028,S1255,43,Beckhampton,3.988195927,0.790814262
Great Britain,53.3362,-4.4604,S1256,0,Bedd Branwen,2.009764613,1.394330275
Great Britain,56.5148,-4.1635,S1270,203,Ben Lawers,0.006704004,0.190790424
Great Britain,57.5231,-7.2848,S1293,432,Bharpa Carinish,1.729659929,2.404503123
Great Britain,55.6339,-3.57857,S1295,141,Biggar Common,1.038739335,0.177773168
Great Britain,50.6244,-2.07063,S1316,0,Blashenwell,3.196246141,1.157195628
Great Britain,50.3333,-4,S1318,103,Bob's Cave,3.422170592,1.851575792
Great Britain,57.6018,-3.29855,S1324,170,Boghead,1.210327936,0.98417939
Great Britain,55.7295,-6.4203,S1333,0,Bolsay Farm,1.135437251,0.631194383
Great Britain,51.0306,-1.45223,S1355,43,Braishfield,3.674680175,0.967593868
Great Britain,51.235,-2.6789,S1364,136,Bridged Pot,3.836252629,0.382160999
Great Britain,51.2066,-2.41,S1365,102,Bridgemere,3.782824025,0.483425935
Great Britain,50.4947,-3.6709,S1371,0,Broken Cave,3.404400375,1.506662132
Great Britain,51.0167,0.9667,S1376,3,Brook,4.317943851,1.077907786
Great Britain,51.0306,-1.4523,S1377,43,Broom Hill ,3.674666163,0.967613152
Great Britain,53.4519,-1.6626,S1379,25,Broomhead Moor,3.875892494,0.683933082
Great Britain,55.6699,-3.4684,S1380,184,Brownsbank Farm,1.065036226,0.116862324
Great Britain,51.7613,-0.0016,S1381,0,Broxbourne,4.84442156,0.516313462
Great Britain,52.5515,-3.2302,S1387,87,Brynderwen Farm,3.28597075,0.177515097
Great Britain,57.4735,-4.072,S1393,217,Bulnuaran of Clava,0.61909144,0.754441001
Great Britain,51.1789,-2.8685,S1402,99,Burtle Bridge ,3.809888027,0.482741087
Great Britain,52.2741,-0.29459,S1403,0,Burwell,5.200654933,0.042690616
Great Britain,53.2546,-1.9251,S1406,30,Buxton 2,3.829047454,1.012297048
Great Britain,56.012,-6.2377,S1424,289,Caisteal Nan Gillean II,0.871496641,0.965499221
Great Britain,56.0115,-6.24529,S1425,300,Caisteal,0.879017743,0.961545857
Great Britain,53.9922,-0.7308,S1432,0,Callis Wold,4.184657147,0.288913531
Great Britain,57.0313,-6.0135,S1433,397,Camas Daraich,0.387981655,1.308456636
Great Britain,58.3812,-3.2656,S1443,0,Camster,1.203667349,1.727088336
Great Britain,57.4817,-4.2486,S1446,186,Canal Road,0.582261992,0.779254183
Great Britain,53.2295,-4.2639,S1452,184,Capel Eithin,2.198993844,1.175906995
Great Britain,56.406,-5.4828,S1459,542,Carding Mill Bay,0.22498398,0.739046378
Great Britain,50.2203,-5.2471,S1462,0,Carn Brea,3.160059757,2.669962061
Ireland,54.7386,-6.8168,S1463,109,Carnanbane,0.905607186,0.299558954
Great Britain,56.007,-3.543,S1469,0,Carriden,0.746781376,0.405531697
Ireland,54.0475,-8.367,S1471,53,Carrowkeel,0.437909791,0.073881179
Ireland,54.228,-8.57974,S1472,110,Carrowmore,0.429552508,0.309363816
Great Britain,55.1225,-3.6153,S1473,445,Carzield,1.310312757,0.345342604
Great Britain,57.4776,-4.2267,S1485,138,Castle Street,0.581533283,0.773925576
Ireland,55.1151,-6.6644,S1486,0,Castleroe,1.222980224,0.01241208
Great Britain,50.3697,-4.1275,S1492,0,Cattedown,3.521685347,1.888052299
Great Britain,56.0847,-3.8703,S1528,0,Chapelfield,0.5109108,0.544185704
Great Britain,51.25,-2.8333,S1540,142,Chelm's Combe,3.873844857,0.403436649
Great Britain,51.4314,-1.9527,S1547,72,Cherhill,4.008000153,0.736644341
Great Britain,51.7036,-0.612,S1549,0,Chesham,4.554599575,0.421461793
Great Britain,56.2314,-4.20353,S1559,272,Claish Farm,0.259994148,0.473071775
Great Britain,56.5482,-3.3681,S1561,0,Cleaven Dyke,0.646965141,0.018559357
Great Britain,56.376,-5.437,S1562,666,Cleigh,0.178683315,0.704749344
Ireland,53.665,-7.40924,S1563,28,Clonava Townland,0.74977685,0.387407252
