Country,Latitude,Longitude,SiteID,Elevation,SiteName
Great Britain,51.9691,-5.0823,S1010,204,Abermawr I
Great Britain,51.68,-1.2613,S1011,124,Abingdon
Great Britain,50.9969,-0.8798,S1040,0,adjacent to barrows excavated 1973-5
Great Britain,56.9485,-7.5241,S1072,0,Alt Chrysal
Ireland,54.568,-7.0367,S1073,128,Altanagh
Great Britain,52.5563,-0.2902,S1075,0,Alton Longville
Great Britain,57.6368,-6.2042,S1081,160,An Corran
Great Britain,54.1014,-6.6173,S1087,0,Annaghmare
Great Britain,53.3446,-1.2053,S1089,124,Anston Stones Cave
Great Britain,51.4899,-0.2354,S1090,0,Hammersmith
Great Britain,51.5011,-0.1513,S1091,0,Antler mattock series
Ireland,52.8711,-8.1496,S1107,165,Ardcrony
Great Britain,55.9697,-4.9439,S1108,101,Ardnadam
Great Britain,53.2546,-1.9251,S1109,30,area with distinct areas of Meso and Neo occupation and structures
Ireland,54.3462,-6.662,S1120,38,Armagh
Great Britain,52.6056,1.30667,S1122,7,Arminghall
Great Britain,51.8561,-1.56584,S1127,122,Ascott-under-Wychwood
Ireland,52.933,-8.1885,S1130,272,Ashleypark
Great Britain,55.4749,-5.1728,S1150,253,Auchareoch
Great Britain,51.3193,-2.7507,S1167,205,Aveline's Hole
Great Britain,51.2279,-2.6703,S1182,113,Badger Hole
Great Britain,57.0536,-2.4402,S1188,0,Balbridie
Great Britain,56.2152,-3.153,S1189,0,Balfarg Riding School
Great Britain,54.2078,-4.6607,S1192,0,"Ballaharra, IOM"
Ireland,52.9805,-6.6748,S1194,0,Ballintruer More
Ireland,52.1,-7.71667,S1196,0,Ballynamintra
Ireland,54.2836,-9.3866,S1197,84,Ballyglass
Ireland,55.0017,-6.4042,S1198,0,Ballymacaldrack
Ireland,54.1521,-6.3728,S1199,0,Ballymacdermot
Ireland,54.8216,-6.4579,S1200,0,Ballymena
Ireland,54.6958,-6.8475,S1201,0,Ballynagilly
Ireland,54.1521,-6.3728,S1202,0,Ballyutoag
Great Britain,53.2755,-1.5921,S1213,10,Bar Brook
Great Britain,58.9935,-3.2079,S1220,0,Barnhouse
Great Britain,51.6811,-1.25507,S1223,108,Barrow Hills
Ireland,54.702,-6.9373,S1247,124,Beaghmore
Great Britain,51.4083,-1.9028,S1255,43,Beckhampton
Great Britain,53.3362,-4.4604,S1256,0,Bedd Branwen
Great Britain,56.5148,-4.1635,S1270,203,Ben Lawers
Great Britain,57.5231,-7.2848,S1293,432,Bharpa Carinish
Great Britain,55.6339,-3.57857,S1295,141,Biggar Common
Great Britain,50.6244,-2.07063,S1316,0,Blashenwell
Great Britain,50.3333,-4.0,S1318,103,Bob's Cave
Great Britain,57.6018,-3.29855,S1324,170,Boghead
Great Britain,55.7295,-6.4203,S1333,0,Bolsay Farm
Great Britain,51.0306,-1.45223,S1355,43,Braishfield
Great Britain,51.235,-2.6789,S1364,136,Bridged Pot
Great Britain,51.2066,-2.41,S1365,102,Bridgemere
Great Britain,50.4947,-3.6709,S1371,0,Broken Cave
Great Britain,51.0167,0.9667,S1376,3,Brook
Great Britain,51.0306,-1.4523,S1377,43,Broom Hill 
Great Britain,53.4519,-1.6626,S1379,25,Broomhead Moor
Great Britain,55.6699,-3.4684,S1380,184,Brownsbank Farm
Great Britain,51.7613,-0.0016,S1381,0,Broxbourne
Great Britain,52.5515,-3.2302,S1387,87,Brynderwen Farm
Great Britain,57.4735,-4.072,S1393,217,Bulnuaran of Clava
Great Britain,51.1789,-2.8685,S1402,99,Burtle Bridge 
Great Britain,52.2741,-0.29459,S1403,0,Burwell
Great Britain,53.2546,-1.9251,S1406,30,Buxton 2
Great Britain,56.012,-6.2377,S1424,289,Caisteal Nan Gillean II
Great Britain,56.0115,-6.24529,S1425,300,Caisteal
Great Britain,53.9922,-0.7308,S1432,0,Callis Wold
Great Britain,57.0313,-6.0135,S1433,397,Camas Daraich
Great Britain,58.3812,-3.2656,S1443,0,Camster
Great Britain,57.4817,-4.2486,S1446,186,Canal Road
Great Britain,53.2295,-4.2639,S1452,184,Capel Eithin
Great Britain,56.406,-5.4828,S1459,542,Carding Mill Bay
Great Britain,50.2203,-5.2471,S1462,0,Carn Brea
Ireland,54.7386,-6.8168,S1463,109,Carnanbane
Great Britain,56.007,-3.543,S1469,0,Carriden
Ireland,54.0475,-8.367,S1471,53,Carrowkeel
Ireland,54.228,-8.57974,S1472,110,Carrowmore
Great Britain,55.1225,-3.6153,S1473,445,Carzield
Great Britain,57.4776,-4.2267,S1485,138,Castle Street
Ireland,55.1151,-6.6644,S1486,0,Castleroe
Great Britain,50.3697,-4.1275,S1492,0,Cattedown
Great Britain,56.0847,-3.8703,S1528,0,Chapelfield
Great Britain,51.25,-2.8333,S1540,142,Chelm's Combe
Great Britain,51.4314,-1.9527,S1547,72,Cherhill
Great Britain,51.7036,-0.612,S1549,0,Chesham
Great Britain,56.2314,-4.20353,S1559,272,Claish Farm
Great Britain,56.5482,-3.3681,S1561,0,Cleaven Dyke
Great Britain,56.376,-5.437,S1562,666,Cleigh
Ireland,53.665,-7.40924,S1563,28,Clonava Townland
Great Britain,56.0155,-6.23501,S1567,249,Cnoc Coig
Great Britain,56.0674,-6.21,S1568,346,Cnoc Sligeach
Great Britain,50.9774,-1.1324,S1597,34,Corhampton
Great Britain,55.8,-6.4557,S1608,116,Coulererach
Great Britain,56.089,-3.90445,S1630,0,Cowie Road
Great Britain,56.1259,-5.2407,S1632,21,Crarae
Great Britain,50.5229,-2.4444,S1656,0,Culverwell
Great Britain,54.8572,-4.05159,S1657,44,Cumstoun
Ireland,55.1195,-6.0577,S1661,0,Cushendun
Great Britain,55.3546,-3.6096,S1663,306,Daer Reservoir  
Ireland,53.2708,-6.084,S1666,0,Dalkey Island
Great Britain,56.7959,-2.6107,S1667,0,Dalladies
Great Britain,51.6381,-4.67632,S1673,340,Daylight Rock
Great Britain,57.2344,-2.3579,S1679,0,Deer's Den
Ireland,54.2399,-5.8446,S1689,0,Dendrum Nature Reserve
Ireland,55.0017,-6.4042,S1736,0,Dooey's Cairn
Great Britain,50.7,-2.4333,S1737,14,Dorchester
Great Britain,50.933,-1.99,S1740,131,Dorset Cursus
Great Britain,56.6233,-2.6242,S1743,0,Douglasmuir
Great Britain,51.67,-1.13,S1748,66,Drayton Cursus
Great Britain,56.41,-5.4741,S1753,465,Druimvargie
Great Britain,57.2396,-7.44916,S1758,0,Dun Vulan
Great Britain,53.51,-1.7934,S1761,16,Dunford Bridge
Great Britain,55.9645,-4.9387,S1762,106,Dunloskin Wood
Great Britain,55.997,-4.3528,S1763,41,Duntreath
Great Britain,52.247,-0.760808,S1771,0,Earl's Barton
Great Britain,51.3934,-1.908,S1772,72,Easton Down
Great Britain,52.6063,1.2672,S1773,25,Eaton Heath
Great Britain,57.4677,-7.3492,S1796,40,Eilean
Ireland,51.96,-10.26,S1826,414,Emlagh Bog Embayment
Great Britain,54.3139,-3.40665,S1853,534,Eskmeals
Great Britain,51.4934,-0.6314,S1860,0,Eton Wick
Great Britain,52.4203,-0.762609,S1878,0,Faraday Road
Ireland,52.1764,-10.4556,S1896,101,Ferriter's Cove
Great Britain,56.2767,-2.5871,S1898,0,Fife Ness
Great Britain,54.7301,-1.2623,S1901,0,Filpoke Beacon
Great Britain,51.7048,-0.007,S1908,0,Fisher's Green
Great Britain,50.708,-2.4191,S1911,5,Flagstones
Great Britain,49.9898,-5.219,S1913,0,Flint scatter and features 1
Great Britain,51.7541,-0.0019,S1914,0,Flint scatter in peat 2
Great Britain,54.2159,-0.4141,S1916,0,Flixton
Great Britain,51.3993,-1.2812,S1942,18,food processing activity
Great Britain,56.7354,-2.5463,S1944,0,Fordhouse Barrow
Great Britain,52.7615,-3.0819,S1950,94,Four Crosses
Great Britain,53.1833,-1.85,S1951,42,Fox Hole Cave
Great Britain,51.5659,-4.08908,S1952,38,"Foxhole Cave, Gower"
Great Britain,51.091,-1.7272,S1967,156,Fussel's Lodge
Great Britain,56.11,-3.93,S1978,0,Garden
Great Britain,55.7229,-3.4306,S1980,188,Garvald Burn
Great Britain,51.5153,-1.1352,S1983,37,Gatehampton Farm
Great Britain,53.1019,-3.5281,S2002,38,Geometric industry under BA cairn
Ireland,52.5196,-8.5304,S2005,79,Geroid Island
Great Britain,53.22,0.14,S2010,79,Giant's Hills 2
Great Britain,53.25,0.1667,S2011,11,Giants' Hills
Great Britain,55.947,-5.9758,S2025,263,Glenbatrick
Ireland,54.3052,-9.458,S2026,64,Glenulra
Great Britain,55.8859,-5.2031,S2027,85,Glenvoidean
Great Britain,51.5328,-2.9228,S2036,89,Goldcliff West
Great Britain,51.5328,-2.9199,S2037,91,Goldcliff
Ireland,55.204,-6.1164,S2042,0,Goodland
Great Britain,51.2667,-2.75,S2053,150,Gough's Cave
Great Britain,54.0717,-1.8747,S2062,25,Grassington
Great Britain,51.4049,-1.3185,S2067,8,Greenham Dairy Farm
Great Britain,52.4754,0.6786,S2072,40,Grimes Graves
Great Britain,50.8788,-0.4647,S2189,0,Harrow Hill
Great Britain,51.3195,-2.9458,S2207,114,Haywood Cave
Great Britain,51.8686,-1.8958,S2210,93,Hazleton North
Great Britain,54.3493,-4.4759,S2211,0,"Hearth, charcoal dumps and flint-knapping floor"
Great Britain,54.9755,-3.0937,S2212,34,Hearth
Great Britain,50.8202,-3.2605,S2224,150,Hembury
Great Britain,50.7124,-1.7479,S2227,0,Hengistbury Head
Great Britain,52.9435,-1.5074,S2231,85,High Furlong
Great Britain,51.0053,0.1325,S2232,42,High Hurstwood
Great Britain,51.1218,0.229131,S2233,97,High Rocks   
Great Britain,51.2841,0.2272,S2234,108,High Rocks Shelks
Great Britain,56.6215,-3.9062,S2251,116,Home Farm Castle
Great Britain,56.5361,-4.1635,S2252,281,Home Farm
Great Britain,51.4635,-0.5361,S2259,0,Horton Manor Farm
Great Britain,51.5398,-2.91136,S2278,103,Human footprint series
Great Britain,53.8614,-2.0623,S2285,8,Ickornshaw Moor
Great Britain,56.541,-3.424,S2294,0,Inchtuthil
Great Britain,51.3225,-3.0118,S2299,93,Intertidal peat
Great Britain,55.9997,-3.6822,S2300,18,Inveravon
Great Britain,55.9304,-3.0405,S2301,0,Inveresk
Great Britain,50.9906,-0.7888,S2303,0,Iping Common
Ireland,53.6344,-7.25959,S2305,26,Newlands Cross
Great Britain,50.8251,0.0462,S2313,68,Itford Bottom
Ireland,52.5,-7.1667,S2332,0,Jerpoint West
Great Britain,50.4664,-3.5008,S2372,0,Kent's Cavern
Great Britain,51.4861,-0.2859,S2386,0,Kew Bridge
Great Britain,54.4789,-1.06,S2390,0,Kildale
Great Britain,56.0985,-6.1829,S2391,277,Kildran Burn
Ireland,52.1027,-7.7373,S2392,0,Kilgreany Cave
Great Britain,54.05,-0.3833,S2393,0,Kilham
Great Britain,54.3152,-4.38,S2394,54,"Killeaba, IOM"
Great Britain,55.4883,-5.3117,S2395,158,Kilpatrick
Great Britain,52.4214,0.768,S2396,22,Kilverstone
Great Britain,51.8365,-2.6593,S2397,148,King Arthur's Cave
Great Britain,57.016,-6.28001,S2398,216,Kinloch Farm
Great Britain,57.0162,-6.2789,S2399,230,Kinloch
Great Britain,51.3255,-0.61788,S2415,0,Knap Hill
Great Britain,59.3493,-2.91085,S2416,0,Knap of Howar
Ireland,54.2752,-6.1852,S2417,0,Knockiveagh
Ireland,53.7051,-6.4917,S2419,0,Knowth
Great Britain,52.3096,0.6143,S2583,11,Lackford Heath
