Country,Latitude,Longitude,SiteID,SiteName,slope,Profile cu,ele30m,tangential,aspect,lake,river
Great Britain,51.9691,-5.0823,S1010,Abermawr I,7.47827,-0.00108,11,-0.00141,233.23158,1.814888052,1.662733349
Great Britain,51.68,-1.2613,S1011,Abingdon,0.78879,-0.00036,59,-0.00152,241.79982,4.349530906,0.290761311
Great Britain,50.9969,-0.8798,S1040,adjacent to barrows excavated 1973-5,6.83334,0.00172,54,0.00173,344.33316,3.798896494,0.960162785
Great Britain,56.9485,-7.5241,S1072,Alt Chrysal,13.02903,-0.0015,17,0.00028,275.50116,1.804370184,1.930711519
Ireland,54.568,-7.0367,S1073,Altanagh,3.95142,0.00196,181,0.0008,275.78076,0.641169526,0.140272066
Great Britain,52.5563,-0.2902,S1075,Alton Longville,5.74562,-0.00211,5,-0.00275,105.29366,5.465979238,0.249973581
Great Britain,57.6368,-6.2042,S1081,An Corran,5.6694,-0.00194,2,0.00143,40.63331,0.654733913,1.758929142
Great Britain,54.1014,-6.6173,S1087,Annaghmare,3.65238,0,119,0,329.5567,0.912949419,0.202496835
Great Britain,53.3446,-1.2053,S1089,Anston Stones Cave,5.15504,0.00015,105,-0.00185,238.38181,4.289627768,0.474781956
Great Britain,51.4899,-0.2354,S1090,Hammersmith,5.96952,0.00285,3,-0.00288,248.17577,4.499404615,0.677580055
Great Britain,51.5011,-0.1513,S1091,Antler mattock series,0.43768,0.00284,22,-0.00013,31.96929,4.545087644,0.686096606
Ireland,52.8711,-8.1496,S1107,Ardcrony,2.00465,0.00176,88,0.00188,67.55156,1.012489287,0.304259949
Great Britain,55.9697,-4.9439,S1108,Ardnadam,11.18564,0.00206,59,0.00134,64.06595,0.319348879,0.666056554
Great Britain,53.2546,-1.9251,S1109,area with distinct areas of Meso and Neo occupation and structures,2.883,-0.00329,305,-0.00115,74.46852,3.829047454,1.012297048
Ireland,54.3462,-6.662,S1120,Armagh,5.98519,-0.00084,46,0.00153,297.51706,0.991742538,0.077902561
Great Britain,52.6056,1.30667,S1122,Arminghall,2.79052,-0.0008,7,-0.00242,65.86907,4.184216113,0.936394675
Great Britain,51.8561,-1.56584,S1127,Ascott-under-Wychwood,3.13086,-0.00011,124,0.00199,162.79678,4.469292033,0.39428549
Ireland,52.933,-8.1885,S1130,Ashleypark,1.63211,-0.001,92,-0.00016,225.20093,0.949960085,0.347975602
Great Britain,55.4749,-5.1728,S1150,Auchareoch,3.3648,0.00183,165,-0.00183,223.43031,0.75024267,1.206671154
Great Britain,51.3193,-2.7507,S1167,Aveline's Hole,10.32247,-0.00128,196,0.00029,77.72295,3.929514173,0.309557117
Great Britain,51.2279,-2.6703,S1182,Badger Hole,8.45585,-0.00075,76,0.00119,184.68195,3.828117809,0.389057842
Great Britain,57.0536,-2.4402,S1188,Balbridie,4.57024,0.00077,47,0.00302,73.84119,1.64144402,1.075135602
Great Britain,56.2152,-3.153,S1189,Balfarg Riding School,4.14825,-0.00334,101,0,180,0.937728226,0.227543687
Great Britain,54.2078,-4.6607,S1192,"Ballaharra, IOM",4.20191,0.00136,39,0.00177,221.32501,1.81088573,1.704975116
Ireland,52.9805,-6.6748,S1194,Ballintruer More,0.44835,-0.00078,127,0.00013,148.88666,0.196313016,0.268416679
Ireland,52.1,-7.71667,S1196,Ballynamintra,0,0,14,0,0,1.558378235,0.21424951
Ireland,54.2836,-9.3866,S1197,Ballyglass,0.45865,0.00081,22,-0.00013,30.33253,0.202199579,0.739710477
Ireland,55.0017,-6.4042,S1198,Ballymacaldrack,3.7127,0,122,0,29.89131,1.390208943,0.123548568
Ireland,54.1521,-6.3728,S1199,Ballymacdermot,10.04963,0.00087,171,-0.00218,281.20493,0.960155567,0.412196976
Ireland,54.8216,-6.4579,S1200,Ballymena,0.80225,0.00091,13,-0.00057,240.00261,1.270310353,0.01444176
Ireland,54.6958,-6.8475,S1201,Ballynagilly,4.53904,0.00167,195,-0.0003,14.75016,0.86125403,0.287440332
Ireland,54.1521,-6.3728,S1202,Ballyutoag,10.04963,0.00087,171,-0.00218,281.20493,0.960155567,0.412196976
Great Britain,53.2755,-1.5921,S1213,Bar Brook,1.54563,-0.00291,313,0,360,4.047827346,0.750381858
Great Britain,58.9935,-3.2079,S1220,Barnhouse,2.84353,0.00422,4,0.00073,198.98512,1.533718732,2.334396597
Great Britain,51.6811,-1.25507,S1223,Barrow Hills,1.31657,-0.00149,60,-0.00164,31.8669,4.351936734,0.288136254
Ireland,54.702,-6.9373,S1247,Beaghmore,0.92425,0.00225,191,-0.00052,149.9236,0.780399957,0.286877824
Great Britain,51.4083,-1.9028,S1255,Beckhampton,0.9269,-0.00105,164,0,90,3.988195927,0.790814262
Great Britain,53.3362,-4.4604,S1256,Bedd Branwen,0.77405,-0.00097,33,-0.00035,180,2.009764613,1.394330275
Great Britain,56.5148,-4.1635,S1270,Ben Lawers,1.24859,-0.00037,111,0.00141,312.12604,0.006704004,0.190790424
Great Britain,57.5231,-7.2848,S1293,Bharpa Carinish,2.25972,-0.00018,15,0.00045,197.8902,1.729659929,2.404503123
Great Britain,55.6339,-3.57857,S1295,Biggar Common,9.1512,-0.00115,336,-0.00205,142.97437,1.038739335,0.177773168
Great Britain,50.6244,-2.07063,S1316,Blashenwell,5.95527,-0.00137,35,0.00051,111.45517,3.196246141,1.157195628
Great Britain,50.3333,-4,S1318,Bob's Cave,1.58811,0.00004,103,-0.0011,46.85089,3.422170592,1.851575792
Great Britain,57.6018,-3.29855,S1324,Boghead,4.87107,-0.00309,69,-0.00076,166.28677,1.210327936,0.98417939
Great Britain,55.7295,-6.4203,S1333,Bolsay Farm,2.95284,0.00068,63,-0.001,346.40439,1.135437251,0.631194383
Great Britain,51.0306,-1.45223,S1355,Braishfield,2.44983,-0.00101,77,-0.00187,221.43857,3.674680175,0.967593868
Great Britain,51.235,-2.6789,S1364,Bridged Pot,11.08143,0.00212,189,0.00367,262.4386,3.836252629,0.382160999
Great Britain,51.2066,-2.41,S1365,Bridgemere,7.80681,-0.00675,146,-0.00442,124.30389,3.782824025,0.483425935
Great Britain,50.4947,-3.6709,S1371,Broken Cave,10.8131,0.00425,82,-0.00029,57.90929,3.404400375,1.506662132
Great Britain,51.0167,0.9667,S1376,Brook,0.78635,0.0015,3,0.00156,242.14563,4.317943851,1.077907786
Great Britain,51.0306,-1.4523,S1377,Broom Hill,2.44983,-0.00101,77,-0.00187,221.43857,3.674666163,0.967613152
Great Britain,53.4519,-1.6626,S1379,Broomhead Moor,0.45198,-0.00079,428,0.00013,149.16615,3.875892494,0.683933082
Great Britain,55.6699,-3.4684,S1380,Brownsbank Farm,4.55886,-0.00076,271,-0.00282,74.39084,1.065036226,0.116862324
Great Britain,51.7613,-0.0016,S1381,Broxbourne,1.39012,-0.00105,28,0,270,4.84442156,0.516313462
Great Britain,52.5515,-3.2302,S1387,Brynderwen Farm,4.36859,-0.00069,91,0.00005,127.43673,3.28597075,0.177515097
Great Britain,57.4735,-4.072,S1393,Bulnuaran of Clava,3.55582,0.00058,105,-0.00008,15.0758,0.61909144,0.754441001
Great Britain,51.1789,-2.8685,S1402,Burtle Bridge,1.66319,0.00073,3,-0.00011,102.80466,3.809888027,0.482741087
Great Britain,52.2741,-0.29459,S1403,Burwell,3.09894,0.00076,43,-0.00013,31.52608,5.200654933,0.042690616
Great Britain,53.2546,-1.9251,S1406,Buxton 2,2.883,-0.00329,305,-0.00115,74.46852,3.829047454,1.012297048
Great Britain,56.012,-6.2377,S1424,Caisteal Nan Gillean II,2.48156,-0.00171,7,-0.00015,311.75031,0.871496641,0.965499221
Great Britain,56.0115,-6.24529,S1425,Caisteal,1.26131,-0.00284,13,0.00024,190.5773,0.879017743,0.961545857
Great Britain,53.9922,-0.7308,S1432,Callis Wold,1.20168,0.00265,238,0.00177,11.11265,4.184657147,0.288913531
Great Britain,57.0313,-6.0135,S1433,Camas Daraich,19.4055,-0.00193,31,0.0028,273.61859,0.387981655,1.308456636
