,country,latitude,longitude,siteid,sitename,slope,profile,tangential,aspect,elevation,lakes_distance,rivers_distance,borders_distance
0,Great Britain,51.9691,-5.0823,S1010,Abermawr I,7.478269999999999,-0.00108,-0.00141,233.23157999999998,204,1.814890968,0.008990773,0.008990773
1,Great Britain,51.68,-1.2613,S1011,Abingdon,0.78879,-0.00036,-0.0015199999999999999,241.79982,124,4.349536012,0.290760275,0.7889704679999999
2,Great Britain,50.9969,-0.8798,S1040,adjacent to barrows excavated 1973-5,6.83334,0.00172,0.00173,344.33316,0,3.7989020160000004,0.164683782,0.164683782
3,Great Britain,56.9485,-7.5241,S1072,Alt Chrysal,13.02903,-0.0015,0.00028,275.50116,0,1.804370031,0.017311398000000002,0.017311398000000002
4,Ireland,54.568000000000005,-7.0367,S1073,Altanagh,3.9514199999999997,0.00196,0.0008,275.78076,128,0.42557704,0.1402727,0.47669376399999996
5,Great Britain,52.5563,-0.2902,S1075,Alton Longville,5.74562,-0.0021100000000000003,-0.00275,105.29366,0,5.261593206000001,0.249975545,0.446409943
6,Great Britain,57.6368,-6.2042,S1081,An Corran,5.6694,-0.0019399999999999999,0.00143,40.633309999999994,160,0.6547302660000001,0.022699401,0.022699401
7,Great Britain,54.1014,-6.6173,S1087,Annaghmare,3.6523800000000004,0.0,0.0,329.5567,0,0.411393115,0.20249339800000002,0.271238358
8,Great Britain,53.3446,-1.2053,S1089,Anston Stones Cave,5.1550400000000005,0.00015,-0.00185,238.38181,124,4.289630417,0.47478171799999996,0.596687129
9,Great Britain,51.4899,-0.2354,S1090,Hammersmith,5.969519999999999,0.00285,-0.00288,248.17577000000003,0,4.499400519,0.621020699,0.621020699
10,Great Britain,51.5011,-0.1513,S1091,Antler mattock series,0.43768,0.0028399999999999996,-0.00013000000000000002,31.96929,0,4.5450835210000005,0.537974748,0.537974748
11,Ireland,52.8711,-8.1496,S1107,Ardcrony,2.00465,0.00176,0.0018800000000000002,67.55156,165,0.143276324,0.304256956,0.633360817
