Notes,SiteID,RecoveryMethod,MeshSize,RecoveryMethodNotes
"M (p47-49) describes impressions in pottery; contextual information is limited & sherds identified by museum accession nos; M says there are 'some unusually large impressions, including entire spikelets of cereals and a fruitstone of sloe', p48; presence only in d/base",S1011,NULL,NULL,NULL
"L (p76-7) records 2 taxa collected for use at the site; remains were found in the occ layer & in a refuse area; it appears that there was no systematic recovery of remains & so nos of specimens are not recorded; I have assumed the taxa were waterlogged?",S1042,NULL,NULL,NULL
"7 pits sampled & from 2 only modern seeds were retrieved; results from 8 sples from 5 pits reported by J&H (tables 4-3/4-4); taxa from 2 sples were hand-picked (all taxa amalgamated in d/b); crop spp in all samples & large nos in 3 samples from pit 100",S1051,"flotation, hand-picked",5mm-0.1mm,NULL
"the settlement Alleshausen-Grundwiesen (Gde Alleshausen district of Biberach) lies on the western edge of Federseeriedes; it is located just below the edge of the slope of the ancient moraine; the cultural layers have been well preserved in/under peat layers; in spring 1989 Franz Herzog found in recently opened drainage ditches worked timber, stones, charcoal and pottery sherds (Schlichtherle 1989, 59); in 1990 work was begun with test probes which led to further campaigns in summer 1992; the soundings recorded substantial archaeological finds only in the topmost layers; approximately 100 square meters of the settlement area was excavated (Koninger & Schlichterle 2004); the 1 m thick cultural layers were composed of organic detritus, wood and clay and date to the late Neolithic Goldberg III group; archaeobotany: profile samples were taken through cultural layers (all recorded in separate tables) and also single samples were taken across the settlement (I've only recorded taxa in these single samples which are summarised in table 19); single samples: 6 samples are taken from the area of the enclosure at the western end of section 3, 6 out of the area between the fence and house 4; other individual samples come from the houses themselves including the fireplaces and the areas beneath the floors (total:28); samples were washed on a set of sieves (mesh sizes: 8, 4, 2, 1, 0.5 and 0.25 mm); a total of nearly 20 litres of sample material were examined; since no fire existed in the settlement layers almost exclusively uncharred/waterlogged plant remains are preserved, and only rarely were charred seeds or fruits found - a majority of these were wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former  ",S1066,wet-sieving,"8.0mm, 4.0mm, 2.0mm, 1.0mm, 0.5mm, 0.25mm",NULL
"the site is located in eastern Switzerland (Canton Thurgau) on the southern shore of Lake Constance; to date there are 7 partially excavated prehistoric settlement sites located at Bleiche; the archaeological layers extend to heights from 393.90 to 397.00 m asl. and since these layers are now up to several meters below the current surface, mostly in the groundwater range, exploratory excavations are difficult; when the lake levels dropped in 1882 the first evidence of pile dwellings was discovered; in the summer of 1993, the first major campaign of excavation in  Arbon Bleiche 3 was carried out to investigate an area of about 470 square meters (at this time the sections 1 and 2 opened in 1983 were integrated into the excavation area and thus were classified as stratigraphically secure); in the summer of 1994 an area of 300 m2 was opened in the direction of the former lake and in 1995 a further 280 m2 was excavated in the W; organic cultural layers (= KS: KSO, KSM, KSU) cover the entire excavation area and are separated from the overlying layer of fire debris (= BRA); archaeobotany: the cultural layer was systematically sampled in Arbon Bleiche 3 - this was done by taking so-called surface samples, i.e. cultural layer material from every second square metre or every second quarter of a square metre and also profile columns recovered at more or less regular intervals over the entire excavated area; in addition, subjective sampling was carried out for human and animal faecal samples; both types of systematically recovered samples were examined by various disciplines: bulk surface samples (mostly 3 litres; from 8 houses and different settlement areas: n=73 samples/340L – only 33*/185L of which could be included in the analyses/calculations) were examined for a vast range of macrobotanical remains, for small zoological remains and for remnants of animal dung; profile columns (taken at 12 locations on the onshore transect of the W part of the settlement; from 6 houses and 5 areas between; 7.3L of cultural layers) were analysed for macrobotanical remains (seeds, fruits), microbotanical remains (mainly pollen), small animal remains, molluscs, sediment grain sizes and micromorphological features [there is much discussion in the volume about the 'appropriate' samples sizes to take to achieve a 'representative' suite of plant taxa - not entirely sure what the conclusions were]; I have entered data from Abb. CD 75 (listing taxa identified in the bulk samples - db entries refer to the fully quantified data for the 33* samples); Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S1104,wet-sieving/wash-over,"0.5mm, 0.2mm",NULL
"the site is in the Vallon de Marcieu located on the edge of the eastern massif; in the 1980s and 1990s the team of Grenoble ""Alpine Settlement and Palaeoenvironment"" survey group found many sites in Chartreuse and Vercors (under the direction of P. Bintz and R. Picavet); in the context of these findings the excavation programmed for ALP 1 was initiated in 1994 first under the direction of P. Bintz, then from 1999 that of D. Pelletier; the deposit was chosen because it had deposits that allowed easy definition of stratigraphic units - the archaeological sequence covers the Middle Mesolithic up to historical periods; the site covers an area of about 80 m2 with a band 3-4m long and 1.5m wide that is protected from the rain by the rock overhang; many arrow heads were found and the spectrum of fauna includes only wild taxa including deer, wild boar, ibex and chamois and the suggestion is that the site was used as a hunting camp; the shelter was repeatedly occupied (Pelletier et al. 2000); the a/bot analysis focuses on Middle Neolithic levels excavated in 2004 and 2005 (Pelletier 2004, 2005); 2 radiocarbon dates were obtained from hearths (Fy01, Fy02) in the Neolithic sequence - they place the occupation between 4450 and 4250 BC. (Middle Neolithic 1); archaeobotany: the area excavated during the two seasons 2004 and 2005 (sector 1) is characterized by the presence of three hearths that comprise very organic sediment - the a/bot study reported by LM focuses on hearths Fy 02 in IJ 5-6 and Fy 03 in H4; all plant remains were charred; for logistical reasons it was not possible to wet-sieve on site or to transport more than one ton of sediment - instead samples were dry-sieved on a large mesh (c. 6 mm) on site; sediment that passed through the mesh was collected on a plastic sheet and this was then processed at IPSA in Basel in a manner similar to that used for samples from Chenet des Pierres: the sediment was frozen and then wet-sieved on meshes of 4 mm, 2 mm and 0.5 mm; as with La Grande Rivoire fragments were converted to 'whole grain/seed equivalents' and presented in table 13 (see appendices for full listing)",S1153,wet-sieving,"4.0mm, 2.0mm, 0.5mm",NULL
"the settlement is on the western outskirts of Bad Buchau at the narrowest point between the land and the island of Buchau; since 1997, the Baden-Wurttemberg Landesdenkmalamt has led excavations there in the summer months (Billamboz et al, 2001; Hohl and Schlichtherle 2002, Schlichtherle 2004); the settlement is dated by dendrochronology to 3293-3281 BC (Schlichtherle 2004) and therefore falls in the early Horgen culture - the ceramic typology suggests a relatively occupation span; archaeobotany: Herbig (2006) notes that only 6% of the plant taxa are preserved by charring (the other 94% are waterlogged) - a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former; Herbig lists taxa present in 46 samples taken from a 20cm thick cultural layer at the site (sample by sample records not given only total/ubiquity for the 46); 211,000 plant remains, 62 plant taxa were identified (a further 22 species determination was uncertain); the author discusses the possibility of finds of 'bulgur' (e.g., fragments of grains with glossy/bulbous broken surfaces) but after consultation with Valamoti this idea is dismissed (""Accordingly, the present material is not considered as evidence of production of bulgur in Federsee during the Neolithic."" p138); the large amounts of flax remains are considered significant and in the conclusion Herbig notes: ""In Federsee area is the large amount of flax remains already a foretaste of the specialized flax agriculture settlements of the later Goldberg III-group."" [data entered in db: Herbig's tables 1-4 amalgamated]",S1180,wet-sieving,0.25mm,NULL
"F&R (p313-23) provide interim results; no details of sampling or processing were given but they note that  taxa (+charcoal) were found in most features; c.20,000 cereal grains ID & these constituted the largest % of the remains; lists of taxa not included",S1188,wet-sieving,NULL,NULL
"A Late Neolithic 'village' was excavated, consisting of more than 10 stone houses and other structures (including 'monumental' Structure 8); Archaeobotany: charred plant remains were recorded in 90 samples from houses, Structure 8 and nearby deposits. In the early stages of excavation, soil samples were rinsed in a 1.5mm-2mm sieve in the adjacent loch, and charred fragments were picked out by hand (these samples can be identified below as the samples where volume was not recorded). Subsequently, soil was processed off-site by Hinton; these samples were washed/processed with water, using a sieve of 0.5 mm mesh size (hydrogen peroxide was added to some samples to aid processing). Cereal, fruit and nut remains were recorded, including naked barley, occasional oat, hazelnut shell, crab-apple and crowberry. A wide variety of seeds, stems and tubers of other wild plants was also present, representing disturbed ground, heathland, grassland and wet places.",S1220,wet-sieving,0.5mm,NULL
"EBA: excavation of an Early Bronze Age barrow cemetery revealed evidence for funerary and ceremonial use of the complex from the earlier Neolithic to at least the Middle Bronze Age. Among the Bronze Age ring-ditches were Neolithic pits, Neolithic and Beaker flat graves, pond barrows and a linear Early Bronze Age cremation cemetery; archaeobotany EBA: Charred plant remains were recorded in 2 samples from Early Bronze Age inhumations and 4 samples from Early Bronze Age cremations. The samples were washed/processed with water, using a sieve of 0.5 mm mesh size. Most remains represent grassland taxa, but a small quantity of cereal grains was also recorded; LN: Charred plant remains were recorded in 5 samples from Late Neolithic pits at this site. The samples were washed/processed with water, using a sieve of 0.5 mm mesh size. A small quantity of cereal remains was present, including wheat. Hazelnut shell, crab-apple remains and other wild taxa were also recorded; MN: Charred plant remains were recorded in 3 samples from Middle Neolithic inhumations at this site. The samples were washed/processed with water, using a sieve of 0.5 mm mesh size. Cereals were absent, but a small quantity of crab-apple and tuber remains was present. ",S1223,wet-sieving,0.5mm,NULL
