"Contexts",NumberOfSamples,"PhaseCode","SiteID"
"middens",8,"AARTS","S8934"
"no details given",NULL,"AB","S1011"
"tombs",40,"AB5E","S7388"
"cultural layers",16,"AB5L","S7388"
"burnt areas, occupation deposits external,occupation deposits internal",33,"ABL","S1104"
"middens,occupation deposits internal",NULL,"ADV","S1042"
"occupation deposits internal,pit fills",5,"AF","S4621"
"hearths,occupation deposits external, occupation deposits internal, room fills",28,"AGR","S1066"
"occupation deposits internal,ovens,room fills,street fills",39,"AH","S6150"
"ashy layers",2,"AL","S4307"
"pit fills",5,"ALD","S4587"
"hearths, ovens,pit fills,",19,"ALR","S9179"
"pit fills",4,"ALRAMD","S9180"
"pit fills",7,"AT","S4309"
"hearths",56,"AULPS","S1153"
"occupation deposits external,occupation deposits internal",6,"AUVBL","S7586"
"pit fills,post holes",31,"BALGN","S9046"
"pit fills",3,"BALLY","S6760"
"pit fills,post holes",5,"BALTG","S6751"
"pit fills",52,"BBG","S4327"
"storage contexts ",1,"BBGS","S4327"
"ditch/gulley,pit fills",3,"BBKI","S1382"
"ditch/gulley,pit fills",3,"BBKII","S1382"
"pit fills",8,"BBP1","S4648"
"occupation deposits internal",46,"BBT","S1180"
"ashy layers,ditch/gulley,floors,hearths,pit fills,post holes",57,"BC","S1272"
"burnt areas",NULL,"BD","S1324"
"occupation deposits internal",12,"BDFON1","S3638"
"occupation deposits internal",11,"BDFON2","S3638"
"occupation deposits internal",17,"BDFON3","S3638"
"no details given",87,"BEBI","S7386"
"pit fills",2,"BF","S4334"
"pit fills",3,"BFT1","S2501"
"pit fills",3,"BFT2","S2501"
"ditch/gulley",7,"BH","S4333"
"burials",3,"BHIL1","S1223"
"pit fills",5,"BHIL2","S1223"
"burials",6,"BHIL3","S1223"
"ditch/gulley, floors, hearths,middens,pit fills,post holes",90,"BHX","S1220"
"hearths,occupation deposits internal",NULL,"BJENG","S8882"
"burnt areas, occupation deposits external,occupation deposits internal,pit fills,post holes",47,"BJENG6","S8890"
"pit fills",13,"BK","S4320"
"no details given",19,"BL","S4332"
"pit fills",2,"BOL","S4324"
"tombs",6,"BORGI","S7389"
"tombs",6,"BORGII","S7389"
"pit fills",2,"BOS","S7390"
"no details given",8,"BOW","S7387"
"pit fills",1,"BPNL","S4330"
"occupation deposits internal, pit fills,storage contexts, storage pits",8,"BPNL1","S4330"
