SampleID,"PhaseCode","TaxonCode","PlantPart","TypeOfPreservation","LevelOfIdentification",NumberPerPhase,Ubiquity,"PresenceOnly"
908674,"AB","CERINDC","chaff - culm","pottery impression","4",0,NULL,"1"
908675,"AB","CERINDG","seed/grain","pottery impression","4",0,NULL,"1"
908676,"AB","HORDSAS","chaff - spikelet/s","pottery impression","1",0,NULL,"1"
908677,"AB","MALUSYL","fruit pip","pottery impression","1",0,NULL,"1"
908678,"AB","PRUNSPI","fruit - stone","pottery impression","1",0,NULL,"1"
908679,"AB","TRITDIC","seed/grain","pottery impression","1",0,NULL,"1"
908680,"AB","TRITSPE","seed/grain","pottery impression","3",0,NULL,"1"
908681,"AB","TRITSPR","chaff - rachis","pottery impression","3",0,NULL,"1"
908682,"ADV","CORYAVE","nut - nutshell","waterlogging","1",0,NULL,"1"
908683,"ADV","TRAPNAT","nut - nutshell","waterlogging","1",0,NULL,"1"
908744,"AF","BROMSPE","seed/grain","charring","3",12,20,"0"
908745,"AF","CHENALB","seed/grain","charring","1",16,20,"0"
908746,"AF","PHLESPE","seed/grain","charring","3",2,20,"0"
908747,"AF","POLYCON","seed/grain","charring","1",11,20,"0"
908748,"AF","POLYLAP","seed/grain","charring","1",1,20,"0"
908749,"AF","SETVIVE","seed/grain","charring","2",2,20,"0"
908750,"AF","TRIMODI","seed/grain","charring","2",10,20,"0"
908751,"AF","TRIMODS","chaff - spikelet fork","charring","2",84,80,"0"
908752,"AF","TRITDIC","seed/grain","charring","1",1,20,"0"
909268,"AL","CERINDG","seed/grain","charring","4",3,50,"0"
909269,"AL","GRAMIND","chaff - culm node","charring","4",1,50,"0"
909270,"AL","HORSASN","seed/grain","charring","2",1,50,"0"
909271,"AL","LINUUSI","seed/grain","charring","2",1,50,"0"
909272,"AL","POLYPER","seed/grain","charring","1",2,50,"0"
909273,"AL","RANUSPE","seed/grain","charring","3",1,50,"0"
909543,"AT","AVENFAT","chaff - awn/s","charring","2",0,14,"1"
909544,"AT","BROMSPE","seed/grain","charring","3",2,29,"0"
909545,"AT","CHENALB","seed/grain","charring","1",258,71,"0"
909546,"AT","CORYAVE","nut - nutshell","charring","1",0,14,"1"
909547,"AT","LINUUSI","seed/grain","charring","1",32,14,"0"
909548,"AT","PHLESPE","seed/grain","charring","3",1,14,"0"
909549,"AT","PISUSAT","seed/grain","charring","1",4,14,"0"
909550,"AT","POLYCON","seed/grain","charring","1",77,71,"0"
909551,"AT","SETVIVE","seed/grain","charring","2",1,14,"0"
909552,"AT","SOLANIG","seed/grain","charring","1",1,14,"0"
909553,"AT","TRIMODI","seed/grain","charring","2",11,29,"0"
909554,"AT","TRIMODS","chaff - spikelet fork","charring","2",3353,86,"0"
909555,"AT","TRITDIC","seed/grain","charring","1",91,57,"0"
909556,"AT","TRITMON","seed/grain","charring","1",7,57,"0"
909653,"BBP1","CERINDG","seed/grain","charring","4",17,63,"0"
909654,"BBP1","CORYAVE","nut - nutshell","charring","1",0,75,"1"
909655,"BBP1","HORDSAI","seed/grain","charring","1",1,13,"0"
909656,"BBP1","LAPSCOM","seed/grain","charring","1",4,13,"0"
909657,"BBP1","POLYCON","seed/grain","charring","1",13,38,"0"
909658,"BBP1","PRUNSPI","fruit - stone","charring","1",5,25,"0"
909659,"BBP1","TRIMODG","chaff - glume base","charring","2",1,13,"0"
909660,"BBP1","TRITDIC","seed/grain","charring","2",1,13,"0"
909661,"BBG","CERINDG","seed/grain","charring","4",0,25,"1"
909662,"BBG","CHENALB","seed/grain","charring","1",11,17,"0"
909663,"BBG","CHENIND","seed/grain","charring","4",1,2,"0"
909664,"BBG","GALISPU","seed/grain","charring","1",1,2,"0"
909665,"BBG","HORDSAN","seed/grain","charring","1",2,4,"0"
909666,"BBG","PISUSAT","seed/grain","charring","1",0,2,"1"
909667,"BBG","POLYCON","seed/grain","charring","1",6,10,"0"
909668,"BBG","TRIMODG","chaff - glume base","charring","2",69,40,"0"
909669,"BBG","TRIMODI","seed/grain","charring","2",6,8,"0"
909670,"BBG","TRIMODS","chaff - spikelet fork","charring","2",28,33,"0"
909671,"BBG","TRITDIC","seed/grain","charring","1",6,6,"0"
909672,"BBG","TRITDIG","chaff - glume base","charring","1",44,25,"0"
909673,"BBG","TRITDIS","chaff - spikelet fork","charring","1",18,13,"0"
909674,"BBG","TRITFTH","seed/grain","charring","1",2,2,"0"
909675,"BBG","TRITMOG","chaff - glume base","charring","1",124,65,"0"
909676,"BBG","TRITMON","seed/grain","charring","1",18,15,"0"
909677,"BBG","TRITMOS","chaff - spikelet fork","charring","1",28,31,"0"
909678,"BBG","TRITSPE","seed/grain","charring","3",5,6,"0"
909679,"BBG","VICIHIR","seed/grain","charring","2",1,2,"0"
909680,"BBGS","BROMARV","seed/grain","charring","1",1,100,"0"
909681,"BBGS","BROMTEC","seed/grain","charring","1",1,100,"0"
909682,"BBGS","CERINDG","seed/grain","charring","4",0,100,"1"
909683,"BBGS","HORDSAI","seed/grain","charring","1",3,100,"0"
909684,"BBGS","HORDSAN","seed/grain","charring","1",4,100,"0"
909685,"BBGS","POLYCON","seed/grain","charring","1",1,100,"0"
909686,"BBGS","TRIMODG","chaff - glume base","charring","2",151,100,"0"
909687,"BBGS","TRIMODI","seed/grain","charring","2",261,100,"0"
909688,"BBGS","TRIMODS","chaff - spikelet fork","charring","2",88,100,"0"
909689,"BBGS","TRITDIC","seed/grain","charring","1",1031,100,"0"
909690,"BBGS","TRITDIG","chaff - glume base","charring","1",91,100,"0"
909691,"BBGS","TRITDIS","chaff - spikelet fork","charring","1",60,100,"0"
909692,"BBGS","TRITFTH","seed/grain","charring","1",7,100,"0"
909693,"BBGS","TRITMOG","chaff - glume base","charring","1",610,100,"0"
909694,"BBGS","TRITMON","seed/grain","charring","1",1824,100,"0"
909695,"BBGS","TRITMOS","chaff - spikelet fork","charring","1",237,100,"0"
909696,"BBGS","TRITSPE","seed/grain","charring","3",57,100,"0"
909697,"BBKI","BROMSEC","seed/grain","charring","4",146,67,"0"
909698,"BBKI","CARYIND","seed/grain","charring","4",1,33,"0"
909699,"BBKI","CERINDG","seed/grain","charring","4",2683,100,"0"
909700,"BBKI","CHENALB","seed/grain","charring","1",473,67,"0"
909701,"BBKI","CORYAVE","nut - nutshell","charring","1",35,67,"0"
909702,"BBKI","GALIAPA","seed/grain","charring","1",2,33,"0"
909703,"BBKI","GALISPE","seed/grain","charring","3",3,100,"0"
909704,"BBKI","GALISPU","seed/grain","charring","1",15,67,"0"
909705,"BBKI","GRAMIND","seed/grain","charring","4",10,67,"0"
909706,"BBKI","LABIIND","seed/grain","charring","4",1,33,"0"
909707,"BBKI","LENSCUL","seed/grain","charring","1",229,67,"0"
909708,"BBKI","NEPECAT","seed/grain","charring","1",11,33,"0"
909709,"BBKI","PHLESPE","seed/grain","charring","3",305,33,"0"
909710,"BBKI","PISUSAT","seed/grain","charring","1",48,67,"0"
909711,"BBKI","POLYAVI","seed/grain","charring","1",1,33,"0"
909712,"BBKI","POLYCON","seed/grain","charring","1",271,100,"0"
909713,"BBKI","POLYDUM","seed/grain","charring","1",55,67,"0"
909714,"BBKI","POLYLAP","seed/grain","charring","1",1,33,"0"
909715,"BBKI","PRUNSPI","fruit - stone","charring","1",5,67,"0"
909716,"BBKI","QUERSPE","acorn - whole","charring","3",4,33,"0"
909717,"BBKI","SAMBEBU","seed/grain","charring","1",1,33,"0"
909718,"BBKI","SECACEG","seed/grain","charring","1",1,33,"0"
