"TaxonCode","FullNameOfTaxon","Genus","Family","DomesticWildStatus"
"ABIEALB","Abies alba","Abies","Pinaceae","wild"
"ABIESPE","Abies spp.","Abies","Pinaceae","wild"
"ABIETAX","Abies alba/Taxus baccata",NULL,NULL,"wild"
"ACERCAM","Acer campestre","Acer","Aceraceae","wild"
"ACHIMIL","Achillea millefolium","Achillea","Compositae","wild"
"ACINARV","Acinos arvensis","Acinos","Labiatae","wild"
"ACTASPI","Actaea spicata","Acta","Ranunculaceae","wild"
"AETHCYN","Aethusa cynapium","Aethusa","Umbelliferae","wild"
"AGRIEUP","Agrimonia eupatoria","Agrimonia","Rosaceae","wild"
"AGROGIT","Agrostemma githago","Agrostemma","Caryophyllaceae","wild"
"AGROREP","Agropyon repens","Agropyron","Gramineae","wild"
"AGROSPE","Agrostis spp.","Agrostis","Gramineae","wild"
"AGROSTO","Agrostis stolonifera","Agrostis","Gramineae","wild"
"AGRPSPE","Agropyron spp.","Agropyron","Gramineae","wild"
"AIRASPE","Aira spp.","Aira","Gramineae","wild"
"AJUGREP","Ajuga reptans","Ajuga","Labiatae","wild"
"AJUGSPE","Ajuga spp.","Ajuga","Labiatae","wild"
"ALCHSPE","Alchemilla spp.","Alchemilla","Rosaceae","wild"
"ALIPLAQ","Alisma plantago-aquatica","Alisma","Alismataceae","wild"
"ALISSPE","Alisma spp.","Alisma","Alismataceae","wild"
"ALLAOFF","Alliaria officinalis","Alliaria","Cruciferae","wild"
"ALLISPE","Allium spp.","Allium","Liliaceae","wild"
"ALLIURS","Allium ursinum","Allium","Liliaceae","wild"
"ALNUGLU","Alnus glutinosa","Alnus","Betulaceae","wild"
"ALNUSPE","Alnus spp.","Alnus","Betulaceae","wild"
"ALTHMAL","Althaea/Malva spp.",NULL,"Malvaceae","wild"
"ALTHOFF","Althaea officinalis","Althaea","Malvaceae","wild"
"AMMOARE","Ammophila arenaria","Ammophila","Gramineae","wild"
"ANAGARV","Anagallis arvensis","Anagallis","Primulaceae","wild"
"ANCHOFF","Anchusa officinalis","Anchusa","Boraginaceae","wild"
"ANETGRA","Anethum graveolens","Anethum","Umbelliferae","wild"
"ANTHSPE","Anthemis spp.","Anthemis","Compositae","wild"
"ANTHTIN","Anthemis tinctoria","Anthemis","Compositae","wild"
"ANTXODO","Anthoxanthum odoratum","Anthoxanthum","Gramineae","wild"
"APHAARV","Aphanes arvensis","Aphanes","Rosaceae","wild"
"APHAMIC","Aphanes microcarpa","Aphanes","Rosaceae","wild"
"APHASPE","Aphanes spp.","Aphanes","Rosaceae","wild"
"APIUGRA","Apium graveolens","Apium","Umbelliferae","wild"
"AQUIVUL","Aquilegia vulgaris","Aquilegia","Ranunculaceae","wild"
"ARCOUVU","Arctostaphylus uva-ursi","Arctostaphylus","Ericaceae","wild"
"ARCTLAP","Arctium lappa","Arctium","Compositae","wild"
"ARCTMIN","Arctium minus","Arctium","Compositae","wild"
"ARCTSPE","Arctium spp.","Arctium","Compositae","wild"
"ARENSER","Arenaria serpyllifolia","Arenaria","Caryophyllaceae","wild"
"ARRHELA","Arrhenatherum elatius","Arrhenatherum","Gramineae","wild"
"ARTESPE","Artemisia spp.","Artemisia","Compositae","wild"
"ARTEVUL","Artemisia vulgaris","Artemisia","Compositae","wild"
"ARUNDIO","Aruncus dioicus","Aruncus","Rosaceae","wild"
"ASAREUR","Asarum europaeum","Asarum","Aristolochiaceae","wild"
"ASPEARV","Asperula arvensis","Asperula","Rubiaceae","wild"
"ASPEGAL","Asperula/Galium spp.",NULL,"Rubiaceae","wild"
"ASPESPE","Asperula spp.","Asperula","Rubiaceae","wild"
"ASTETRI","Aster tripolium","Aster","Compositae","wild"
"ASTRGLY","Astragalus glycyphyllos","Astragalus","Leguminosae","wild"
"ATHNISY","Anthriscus nitida/sylvestris","Anthriscus","Umbelliferae","wild"
"ATRILIT","Atriplex littoralis","Atriplex","Chenopodiaceae","wild"
"ATRIPAT","Atriplex patula","Atriplex","Chenopodiaceae","wild"
"ATRISPE","Atriplex spp.","Atriplex","Chenopodiaceae","wild"
"ATRLIHA","Atriplex littoralis/hastata","Atriplex","Chenopodiaceae","wild"
"ATROBED","Atropa bella-donna","Atropa","Solanaceae","wild"
"ATRPAHA","Atriplex patula/hastata","Atriplex","Chenopodiaceae","wild"
"ATRPAPR","Atriplex patula/prostrata","Atriplex","Chenopodiaceae","wild"
"AVEFAST","Avena fatua/sterilis","Avena","Gramineae","wild"
"AVENBRO","Avena/Bromus spp.",NULL,"Gramineae","wild"
"AVENFAT","Avena fatua","Avena","Gramineae","wild"
"AVENSAT","Avena sativa","Avena","Gramineae","domestic"
"AVENSPE","Avena spp.","Avena","Gramineae","wild/domestic"
"AVENSTE","Avena sterilis","Avena","Gramineae","wild"
"BERUERE","Berula erecta","Berula","Umbelliferae","wild"
"BETAVUL","Beta vulgaris","Beta","Chenopodiaceae","wild/cultivated"
"BETPEPU","Betula pendula/pubescens","Betula","Betulaceae","wild"
"BETUALB","Betula alba","Betula","Betulaceae","wild"
"BETUPEN","Betula pendula","Betula","Betulaceae","wild"
"BETUSPE","Betula spp.","Betula","Betulaceae","wild"
"BORAIND","Boraginaceae indeterminate",NULL,"Boraginaceae","wild"
"BRACSYL","Brachypodium sylvaticum","Brachypodium","Gramineae","wild"
"BRASNIG","Brassica nigra","Brassica","Cruciferae","wild/cultivated"
"BRASRAP","Brassica rapa","Brassica","Cruciferae","wild"
"BRASSIN","Brassica/Sinapis spp.",NULL,"Cruciferae","wild"
"BRASSPE","Brassica spp.","Brassica","Cruciferae","wild"
"BRIZMED","Briza media","Briza","Gramineae","wild"
"BROARHO","Bromus arvensis/hordeaceus","Bromus","Gramineae","wild"
"BROINRA","Bromus inermis/ramosus","Bromus","Gramineae","wild"
"BROMARV","Bromus arvensis","Bromus","Gramineae","wild"
"BROMERE","Bromus erectus","Bromus","Gramineae","wild"
"BROMHOR","Bromus hordeaceus","Bromus","Gramineae","wild"
"BROMOAR","Bromus mollis/arvensis","Bromus","Gramineae","wild"
"BROMSEC","Bromus secalinus","Bromus","Gramineae","wild"
"BROMSPE","Bromus spp.","Bromus","Gramineae","wild"
"BROMSTE","Bromus sterilis","Bromus","Gramineae","wild"
"BROMTEC","Bromus tectorum","Bromus","Gramineae","wild"
"BROSEAR","Bromus secalinus/arvensis","Bromus","Gramineae","wild"
"BROSEHO","Bromus secalinus/hordeaceus","Bromus","Gramineae","wild"
