"BoneID","Measurement",PrimaryKey,Value
"B1041","Loc/47",1,255
"B1041","LD/46",3,60.3
"B1041","GD/45",4,76
"B1042","Loc/47",8,290
"B1042","BC/44",9,208
"B1042","LD/46",10,59.3
"B1042","GD/45",11,67.4
"B1043","Loc/47",15,327
"B1043","BC/44",16,258
"B1043","LD/46",17,70
"B1043","GD/45",18,86.5
"B1044","Loc/47",22,325
"B1044","BC/44",23,210
"B1044","LD/46",24,58.1
"B1044","GD/45",25,67
"B1045","Loc/47",29,335
"B1045","BC/44",30,243
"B1045","LD/46",31,68.4
"B1045","GD/45",32,82.4
"B1046","Loc/47",36,410
"B1046","BC/44",37,245
"B1046","LD/46",38,66.1
"B1046","GD/45",39,82.8
"B1047","Loc/47",43,325
"B1047","BC/44",44,202
"B1047","LD/46",45,56.4
"B1047","GD/45",46,67
"B1048","Loc/47",50,310
"B1048","BC/44",51,220
"B1048","LD/46",52,58.3
"B1048","GD/45",53,74.5
"B1049","Loc/47",57,255
"B1049","BC/44",58,188
"B1049","LD/46",59,48
"B1049","GD/45",60,65
"B1050","Loc/47",64,250
"B1050","BC/44",65,177
"B1050","LD/46",66,49
"B1050","GD/45",67,62.1
"B1051","Loc/47",71,242
"B1051","BC/44",72,173
"B1051","LD/46",73,47
"B1051","GD/45",74,56.5
"B1052","Loc/47",78,260
"B1052","BC/44",79,187
"B1052","LD/46",80,49
"B1052","GD/45",81,62.1
"B1053","Loc/47",85,255
"B1053","BC/44",86,187
"B1053","LD/46",87,47.9
"B1053","GD/45",88,64.7
"B1054","Loc/47",92,215
"B1054","BC/44",93,150
"B1054","LD/46",94,39
"B1054","GD/45",95,50.9
"B1055","Loc/47",99,257
"B1055","BC/44",100,185
"B1055","LD/46",101,46.8
"B1055","GD/45",102,62.7
"B1056","Loc/47",106,250
"B1056","BC/44",107,183
"B1056","LD/46",108,46.7
"B1056","GD/45",109,59.6
"B1057","Loc/47",113,260
"B1057","BC/44",114,183
"B1057","LD/46",115,50
"B1057","GD/45",116,58
"B1058","Loc/47",120,180
"B1058","BC/44",121,155
"B1058","LD/46",122,40
"B1058","GD/45",123,52.7
"B1059","Loc/47",127,220
"B1059","BC/44",128,180
"B1059","LD/46",129,49
"B1059","GD/45",130,59.2
"B1060","Loc/47",134,235
"B1060","BC/44",135,163
"B1060","LD/46",136,44.1
"B1060","GD/45",137,53.5
"B1061","Loc/47",141,170
"B1061","BC/44",142,170
"B1061","LD/46",143,43.8
"B1061","GD/45",144,56.8
"B1062","Loc/47",148,225
"B1062","BC/44",149,169
"B1062","LD/46",150,42.6
"B1062","GD/45",151,58
"B1063","Loc/47",155,220
"B1063","BC/44",156,157
"B1063","LD/46",157,40.5
"B1063","GD/45",158,52.4
"B1064","Loc/47",162,256
"B1064","BC/44",163,182
"B1064","LD/46",164,44.4
"B1064","GD/45",165,64
"B1065","Loc/47",169,220
"B1065","BC/44",170,173
"B1065","LD/46",171,42.6
"B1065","GD/45",172,58.3
"B1066","Loc/47",176,240
"B1066","BC/44",177,169
"B1066","LD/46",178,40.5
"B1066","GD/45",179,58.6
"B1067","Loc/47",183,210
"B1067","BC/44",184,170
"B1067","LD/46",185,44.1
"B1067","GD/45",186,56
"B1068","HoT/40",190,43
"B1068","LPB/35",191,35.2
"B1068","GPB/34",192,60.4
"B1068","LBS/31",193,37.8
"B1068","ZB/30",194,98.1
"B1068","Hfm/28",195,14.5
"B1068","GBfm/27",196,16.5
"B1068","GBbpp/26",197,47.4
"B1068","GBoc/25",198,33.8
"B1068","BD/24",199,57.2
"B1068","GmB/23",200,58.5
"B1068","LBM2/21",201,7.6
"B1068","LBM1/20",202,13
"B1068","LCA/19",203,17.5
