"BoneID","Element","PhaseCode","Sex","TaxonCode"
"B10000","Maxilla","ABL","Male","susscrd"
"B10001","Maxilla","ABL","Male","susscrd"
"B10002","Maxilla","ABL","Male","susscrd"
"B10003","Maxilla","ABL","Male","susscrd"
"B10004","Maxilla","ABL","Male","susscrd"
"B10005","Maxilla","ABL","Male","susscrd"
"B10006","Maxilla","ABL","Male","susscrd"
"B10007","Maxilla","ABL","Male","susscrd"
"B10008","Maxilla","ABL","Male","susscrd"
"B10009","Metacarpal II","ABL","Undet","susscrd"
"B10010","Metacarpal II","ABL","Undet","susscrd"
"B10011","Metacarpal II","ABL","Undet","susscrd"
"B10012","Metacarpal II","ABL","Undet","susscrd"
"B10013","Metacarpal II","ABL","Undet","susscrd"
"B10014","Metacarpal II","ABL","Undet","susscrd"
"B10015","Metacarpal III","ABL","Undet","susscrd"
"B10016","Metacarpal III","ABL","Undet","susscrd"
"B10017","Metacarpal III","ABL","Undet","susscrd"
"B10018","Metacarpal III","ABL","Undet","susscrd"
"B10019","Metacarpal III","ABL","Undet","susscrd"
"B10020","Metacarpal III","ABL","Undet","susscrd"
"B10021","Metacarpal III","ABL","Undet","susscrd"
"B10022","Metacarpal III","ABL","Undet","susscrd"
"B10023","Metacarpal III","ABL","Undet","susscrd"
"B10024","Metacarpal III","ABL","Undet","susscrd"
"B10025","Metacarpal III","ABL","Undet","susscrd"
"B10026","Metacarpal III","ABL","Undet","susscrd"
"B10027","Metacarpal III","ABL","Undet","susscrd"
"B10028","Metacarpal III","ABL","Undet","susscrd"
"B10029","Metacarpal III","ABL","Undet","susscrd"
"B10030","Metacarpal III","ABL","Undet","susscrd"
"B10031","Metacarpal III","ABL","Undet","susscrd"
"B10032","Metacarpal III","ABL","Undet","susscrd"
"B10033","Metacarpal III","ABL","Undet","susscrd"
"B10034","Metacarpal III","ABL","Undet","susscrd"
"B10035","Metacarpal III","ABL","Undet","susscrd"
"B10036","Metacarpal III","ABL","Undet","susscrd"
"B10037","Metacarpal III","ABL","Undet","susscrd"
"B10038","Metacarpal III","ABL","Undet","susscrd"
"B10039","Metacarpal III","ABL","Undet","susscrd"
"B10040","Metacarpal III","ABL","Undet","susscrd"
"B10041","Metacarpal III","ABL","Undet","susscrd"
"B10042","Metacarpal IV","ABL","Undet","susscrd"
"B10043","Metacarpal IV","ABL","Undet","susscrd"
"B10044","Metacarpal IV","ABL","Undet","susscrd"
"B10045","Metacarpal IV","ABL","Undet","susscrd"
