"DepositType","PhaseCode","RecoveryDrySieve","RecoveryHand","RecoveryOther","RecoveryWaterSieve","SiteID"
NULL,"A1","0","0","1","0","S4608"
NULL,"A3","0","0","1","0","S4609"
NULL,"AARTS","1","1","0","0","S8934"
NULL,"AB","0","0","0","0","S1011"
NULL,"AB1","0","0","0","0","S7427"
NULL,"AB2","0","0","0","0","S7427"
NULL,"AB3","0","0","0","0","S7427"
NULL,"ABL","0","1","0","1","S1104"
"1 pit","ADP","0","0","0","0","S1136"
"Pit fills","AF","0","0","0","0","S4621"
NULL,"AGER","0","0","0","0","S8909"
NULL,"AGG","0","0","0","0","S8913"
NULL,"AGR","1","1","0","0","S1066"
"House foundations","AH","0","0","0","0","S6150"
"Cultural layers","AJD","1","1","0","0","S1048"
NULL,"AKNG1","0","0","0","0","S8018"
NULL,"ALCH","0","0","0","0","S7588"
NULL,"ALD","0","0","0","0","S4587"
NULL,"ALMV","0","0","0","0","S7857"
NULL,"ALS","0","0","0","0","S1071"
NULL,"ALX","0","0","1","0","S1077"
"Pit fills","AMLU","0","0","0","0","S4622"
"1 pit","AMPO","0","0","0","0","S4623"
"3 pits","AMRE1","0","0","0","0","S4624"
"3 pits","AMRE3","0","0","0","0","S4624"
NULL,"ANBG","0","0","0","0","S7859"
"Tomb","AP","0","0","0","0","S1130"
NULL,"ARL","0","0","0","0","S1116"
"1 pit","ARM","0","0","0","0","S1121"
"Barrow fill","ARTD","0","0","0","0","S8900"
NULL,"ASS1","0","1","0","0","S4590"
NULL,"ASS2","0","1","0","0","S4590"
"Cultural layers","AUBIN3","0","1","1","0","S4971"
NULL,"AUBIN4","0","0","0","0","S4971"
"Ditch fills","AUE","0","0","0","0","S4588"
NULL,"AULS","0","1","0","0","S1160"
NULL,"AUW","0","1","1","0","S1127"
"Pit fills","AY","0","0","0","0","S4631"
NULL,"BADO1","0","0","0","0","S7387"
"Pit fills","BAH","0","0","0","0","S4637"
NULL,"BAI","0","0","0","0","S7543"
"Pit fills","BAL1","0","0","0","0","S1195"
"Trench fill","BAL2","0","0","0","0","S1195"
NULL,"BARB","0","0","0","0","S4635"
"Pit fills","BARX","0","0","0","0","S1215"
"Pit fills","BAS","0","0","0","0","S4638"
"Cultural layers (disturbed)","BAVA","0","0","0","0","S1240"
"Cultural layers","BAVR","0","1","1","1","S4636"
"Cultural layers","BAW","0","0","0","0","S4639"
NULL,"BAZ","0","0","0","0","S8945"
"Pit fills","BBM1","0","0","0","0","S1285"
"Trench fill","BBM2","0","0","0","0","S1285"
"11 pits","BBP1","0","0","0","0","S4648"
"14 pits","BBP2","0","0","0","0","S4648"
NULL,"BBT","0","0","0","0","S1180"
NULL,"BC","0","0","0","0","S1272"
NULL,"BCX","1","1","1","0","S4634"
"Ditch fills","BDEM","0","0","0","0","S8878"
"Layers 48-37","BDFON1","0","1","0","1","S3638"
"Layers 36-20","BDFON3","0","1","0","1","S3638"
NULL,"BEB76","0","1","0","0","S1254"
"Cultural layers","BER","0","1","1","0","S4646"
NULL,"BHX","0","1","1","0","S1220"
"Pit fills","BIH","0","0","0","0","S4651"
"Cultural layers","BIRS1","0","0","0","0","S1303"
"Cultural layers","BIRS2","0","0","0","0","S1303"
NULL,"BIS","0","0","0","0","S1307"
NULL,"BJ","1","1","1","1","S4652"
NULL,"BJ2","0","0","1","0","S4652"
"Pit fills","BJBK","0","1","0","1","S1382"
NULL,"BLEA","0","0","0","0","S8894"
NULL,"BLJG","0","0","0","0","S8916"
NULL,"BOKE1","0","0","0","0","S1329"
"Pit fills","BOSD","0","0","0","0","S8896"
"Pit fills","BR1","0","0","0","0","S4657"
"Cultural layers","BRA","0","1","1","1","S1357"
NULL,"BRED","0","0","0","0","S1361"
"Pit/bedding trench fills","BRK1","0","1","0","1","S1388"
"Pit/bedding trench fills","BRK3","0","1","0","1","S1388"
"Pit/bedding trench fills","BRK4","0","1","0","1","S1388"
NULL,"BRNK","0","1","0","0","S7630"
"Pit fills","BRO","0","0","0","0","S1372"
NULL,"BRO2","0","0","0","0","S1372"
NULL,"BRON","0","0","0","0","S1374"
"Pit fills","BRU1","0","0","0","0","S4515"
"Pit fills","BRU2","0","0","0","0","S4515"
NULL,"BRWE","0","0","0","0","S4655"
"Underwater deposits","BS","0","0","0","0","S6153"
"Layer 5b","BSM","0","0","0","0","S4642"
"Cultural layers","BTX","0","1","0","1","S2467"
NULL,"BUC","0","0","0","0","S7573"
NULL,"BUH","0","0","0","0","S7574"
NULL,"BUN","0","0","0","0","S7883"
"Pit fills and wells from within the palisaded enclosure","BUNK","1","1","0","0","S9071"
NULL,"BURY","0","0","0","0","S6249"
"Trench fill","BV","0","0","0","0","S1352"
NULL,"BWL","0","0","0","0","S8951"
"Pit fills","BY","0","0","0","0","S4336"
"Pit/ditch fills","C1","0","1","0","1","S4667"
"Pit/ditch fills","C2","0","1","0","1","S4667"
"Pit/ditch fills","C3","0","1","0","1","S4667"
"Pit fills","C4","0","1","0","1","S4667"
"Ditch fills","CALB","0","0","0","0","S1431"
NULL,"CC","1","1","1","0","S1567"
"Cultural layers","CCC","0","0","0","0","S1490"
"Cultural layers","CCV","0","1","0","1","S1569"
NULL,"CCZ","0","0","0","0","S7591"
"Layers 20-16","CF1","0","0","0","0","S4765"
"Layers 15-14","CF2","0","0","0","0","S4765"
"Ditch/posthole fills","CH","1","0","1","1","S4678"
"Cultural layers","CHARB","0","0","0","0","S8863"
"Ditch fills","CHAT","1","1","0","0","S2771"
"4 pits","CHC","0","0","0","0","S1521"
"Cultural layers","CHILL","0","0","0","0","S1547"
NULL,"CHL2","0","0","0","0","S8873"
NULL,"CHL4","1","0","0","0","S8873"
NULL,"CHL6","1","0","0","0","S8873"
NULL,"CHL8","1","0","0","0","S8873"
"Pit fills","CHOT","0","0","0","0","S4671"
NULL,"CLB","1","1","0","0","S2465"
"2 pits","CLG","0","0","0","0","S4668"
NULL,"CLLIII","0","0","0","0","S8864"
"Ditch fills","CLM","1","1","0","0","S9200"
NULL,"CM1","0","0","0","0","S4610"
"Cultural layers","CM2","0","0","0","0","S4610"
