"AgeCriteriaBF","AgeCriteriaDA","AgeCriteriaDE","AgeCriteriaNR","AgeNote","AgeTrend","FaunalSpeciesID","HorncoreNote","HorncoreShape","TaxonCode",NISP,"Pathology","PathologyNote","PhaseCode","PresenceOfFoetals","PresenceOnly","SexCriteriaME","SexCriteriaMO","SexCriteriaNR","SexNote","SexTrend","SpeciesNote"
"0","0","0","0",NULL,"Not stated/recorded","FS1616137",NULL,"Not stated","alcealc",54,"0",NULL,"A1","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616138",NULL,"Not stated","castfib",23,"0",NULL,"A1","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616139",NULL,"Not stated","lyrutet",1,"0",NULL,"A1","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616140",NULL,"Not stated","abrabra",10,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"1","1","1","0","Min. of 28 individuals >16 months and most older than 4 months. Only 2 recorded as +positively younger than 16 months","Mainly adults","FS1616141",NULL,"Not stated","alcealc",184,"0",NULL,"A3","0","0","0","1","0","Out of 24 brain case fragments, all were male. 1 pelvis fragment was female","Majority male",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616142",NULL,"Not stated","canispe",6,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded","May represent wild remains"
"0","0","0","0",NULL,"Not stated/recorded","FS1616143",NULL,"Not stated","carnind",1,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","1",NULL,"Mainly young","FS1616144",NULL,"Not stated","castfib",3599,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616145",NULL,"Not stated","esoxluc",51,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616146",NULL,"Not stated","leputim",3,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616147",NULL,"Not stated","lutrlut",259,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616148",NULL,"Not stated","lyrutet",8,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
"0","0","0","0",NULL,"Not stated/recorded","FS1616149",NULL,"Not stated","martmar",168,"0",NULL,"A3","0","0","0","0","0",NULL,"Not stated/recorded",NULL
