Field Heading,Field Type,Description,Relationships
Class,"ENUM ('Actinopterygii','Amphibia','Aves','Bivalvia','Chondrichthyes','Malacostraca','Mammalia','Pisces','Reptilia','Sauropsida')",Taxonomic rank of class ,n/a
Family,VARCHAR (100),Taxonomic rank of family ,n/a
FullName,VARCHAR (100),Full taxonomic name,n/a
Genus,VARCHAR (100),Taxonomic rank of genus ,n/a
Order,"ENUM ('Accipitriformes','Acipenseriformes','Anguilliformes','Anseriformes','Anura','Apodiformes','Artiodactyla','Beloniformes','Caprimulgiformes','Carcharhiniformes','Carnivora','Cetacea','Charadriiformes','Chiroptera','Ciconiiformes','Clupeiformes','Columbiformes','Coraciiformes','Cuculiformes','Cypriniformes','Decapoda','Erinaceomorpha','Esociformes','Falconiformes','Gadiformes','Galliformes','Gasterosteiformes','Gaviiformes','Gruiformes','','Hyracoidea','Insectivora','Lagomorpha','Lophiiformes','Mugiliformes','Myliobatiformes','Osmeriformes','Passeriformes','Pelecaniformes','Perciformes','Perissodactyla','Phoenicopteriformes','Piciformes','Pinnipedia','Pleuronectiformes','Podicipediformes','Proboscidea','Procellariiformes','Psittaciformes','Pteroclidiformes','Rajiformes','Reptilia','Rodentia','Salmoniformes','Scorpaeniformes','Siluriformes','Soricomorpha','Squaliformes','Squamata','Strigiformes','Struthioniformes','Syngnathiformes','Testudines','Unionoida')",Taxonomic rank of order ,n/a
Phylum,"ENUM ('Arthropoda','Chordata','Mollusca')",Taxonomic rank of phylum ,n/a
Species,VARCHAR (100),Taxonomic rank of species ,n/a
TaxonCode,VARCHAR (100),Unique code to identify the full taxonomic name. This usually consists of the first four letters of the genus and first three letters of the species.,"FaunalSpecies.TaxonCode, FaunalBones.TaxonCode"
Wild/DomesticStatus,"ENUM ('domestic','wild','wild & domestic','wild/domestic')","Description of the wild/domestic status, including combination categories (wild & domestic) as well as inderterminate categories (wild/domestic)",n/a
TaxonCategory,"ENUM ('Amphibia','Bat','Bird','Crustacean','Fish','Land mammal','Marine mammal','Mollusc','Reptile','Rodent')","Higher level common taxonomic classification e.g. 'amphibia', 'bat', 'bird'. Useful in analysis where only land mammals, for example, want to be included.",n/a
