Country,Latitude,Longitude,SiteID,SiteName,Slope,SRTM_World,Aspect
Great Britain,51.96910,-5.08230,S1010,Abermawr I,636749.56250,7.00000,189.40921
Great Britain,51.68000,-1.26130,S1011,Abingdon,180000.00000,59.00000,270.00000
Great Britain,50.99690,-0.87980,S1040,adjacent to barrows excavated 1973-5,654866.37500,54.00000,300.10333
Great Britain,56.94850,-7.52410,S1072,Alt Chrysal,2091518.62500,16.00000,278.23969
Ireland,54.56800,-7.03670,S1073,Altanagh,154434.45313,182.00000,46.28469
Great Britain,52.55630,-0.29020,S1075,Alton Longville,265800.68750,4.00000,115.76022
Great Britain,57.63680,-6.20420,S1081,An Corran,2588097.75000,9.00000,51.84348
Great Britain,54.10140,-6.61730,S1087,Annaghmare,288530.75000,123.00000,342.71704
Great Britain,53.34460,-1.20530,S1089,Anston Stones Cave,729006.18750,108.00000,218.82657
Great Britain,51.48990,-0.23540,S1090,Hammersmith,161554.93750,3.00000,237.35069
Great Britain,51.50110,-0.15130,S1091,Antler mattock series,247386.34375,20.00000,291.82898
Ireland,52.87110,-8.14960,S1107,Ardcrony,67082.03906,88.00000,309.56744
Great Britain,55.96970,-4.94390,S1108,Ardnadam,1698381.62500,58.00000,60.69192
Great Britain,53.25460,-1.92510,S1109,area with distinct areas of Meso and Neo occupation and structures,233345.23438,305.00000,30.95102
Ireland,54.34620,-6.66200,S1120,Armagh,602992.56250,43.00000,260.28699
Great Britain,52.60560,1.30667,S1122,Arminghall,192093.73438,6.00000,142.72867
Great Britain,51.85610,-1.56584,S1127,Ascott-under-Wychwood,657609.31250,119.00000,148.23296
Ireland,52.93300,-8.18850,S1130,Ashleypark,129034.88281,93.00000,156.65567
Great Britain,55.47490,-5.17280,S1150,Auchareoch,1135649.62500,163.00000,249.15981
Great Britain,51.31930,-2.75070,S1167,Aveline's Hole,1724021.50000,197.00000,73.48106
Great Britain,51.22790,-2.67030,S1182,Badger Hole,872066.50000,77.00000,197.42929
Great Britain,57.05360,-2.44020,S1188,Balbridie,453982.37500,48.00000,76.25130
Great Britain,56.21520,-3.15300,S1189,Balfarg Riding School,60000.00000,100.00000,180.00000
Great Britain,54.20780,-4.66070,S1192,"Ballaharra, IOM",513078.93750,33.00000,217.00479
Ireland,52.98050,-6.67480,S1194,Ballintruer More,67082.03906,127.00000,129.63928
Ireland,52.10000,-7.71667,S1196,Ballynamintra,174928.56250,14.00000,339.72031
Ireland,54.28360,-9.38660,S1197,Ballyglass,294703.25000,22.00000,65.78409
Ireland,55.00170,-6.40420,S1198,Ballymacaldrack,506013.84375,127.00000,6.95189
Ireland,54.15210,-6.37280,S1199,Ballymacdermot,1895587.00000,178.00000,291.88373
Ireland,54.82160,-6.45790,S1200,Ballymena,94868.32813,13.00000,190.89453
Ireland,54.69580,-6.84750,S1201,Ballynagilly,335410.18750,198.00000,6.01179
Ireland,54.15210,-6.37280,S1202,Ballyutoag,1895587.00000,178.00000,291.88373
Great Britain,53.27550,-1.59210,S1213,Bar Brook,300000.00000,315.00000,38.63204
Great Britain,58.99350,-3.20790,S1220,Barnhouse,283019.43750,0.00000,197.87643
Great Britain,51.68110,-1.25507,S1223,Barrow Hills,60000.00000,61.00000,360.00000
Ireland,54.70200,-6.93730,S1247,Beaghmore,382426.46875,191.00000,109.05199
Great Britain,51.40830,-1.90280,S1255,Beckhampton,255440.79688,164.00000,84.62672
Great Britain,53.33620,-4.46040,S1256,Bedd Branwen,276586.34375,34.00000,152.83990
Great Britain,56.51480,-4.16350,S1270,Ben Lawers,626777.50000,110.00000,304.82614
Great Britain,57.52310,-7.28480,S1293,Bharpa Carinish,332039.15625,15.00000,190.16696
Great Britain,55.63390,-3.57857,S1295,Biggar Common,1326122.12500,336.00000,143.74747
Great Britain,50.62440,-2.07063,S1316,Blashenwell,543323.12500,36.00000,99.90782
Great Britain,50.33330,-4.00000,S1318,Bob's Cave,297741.50000,103.00000,143.55244
Great Britain,57.60180,-3.29855,S1324,Boghead,495227.21875,71.00000,142.66084
