Country,Latitude,Longitude,SiteID,Elevation,SiteName,min_lakes_distance,min_rivers_distance,min_borders_distance
Great Britain,51.9691,-5.0823,S1010,204,Abermawr I,1.814890968,0.008990773,0.008990773
Great Britain,51.68,-1.2613,S1011,124,Abingdon,4.349536012,0.290760275,0.788970468
Great Britain,50.9969,-0.8798,S1040,0,adjacent to barrows excavated 1973-5,3.798902016,0.164683782,0.164683782
Great Britain,56.9485,-7.5241,S1072,0,Alt Chrysal,1.804370031,0.017311398,0.017311398
Ireland,54.568,-7.0367,S1073,128,Altanagh,0.42557704,0.1402727,0.476693764
Great Britain,52.5563,-0.2902,S1075,0,Alton Longville,5.261593206,0.249975545,0.446409943
Great Britain,57.6368,-6.2042,S1081,160,An Corran,0.654730266,0.022699401,0.022699401
Great Britain,54.1014,-6.6173,S1087,0,Annaghmare,0.411393115,0.202493398,0.271238358
Great Britain,53.3446,-1.2053,S1089,124,Anston Stones Cave,4.289630417,0.474781718,0.596687129
Great Britain,51.4899,-0.2354,S1090,0,Hammersmith,4.499400519,0.621020699,0.621020699
Great Britain,51.5011,-0.1513,S1091,0,Antler mattock series,4.545083521,0.537974748,0.537974748
Ireland,52.8711,-8.1496,S1107,165,Ardcrony,0.143276324,0.304256956,0.633360817
Great Britain,55.9697,-4.9439,S1108,101,Ardnadam,0.319347002,0.016717183,0.016717183
Great Britain,53.2546,-1.9251,S1109,30,area with distinct areas of Meso and Neo occupation and structures,3.829047758,0.780752841,0.780752841
Ireland,54.3462,-6.662,S1120,38,Armagh,0.189429096,0.077907629,0.447563912
Great Britain,52.6056,1.30667,S1122,7,Arminghall,3.668966763,0.299457356,0.299457356
Great Britain,51.8561,-1.56584,S1127,122,Ascott-under-Wychwood,4.469296871,0.394284333,0.820355204
Ireland,52.933,-8.1885,S1130,272,Ashleypark,0.08290759,0.347972441,0.619853475
Great Britain,55.4749,-5.1728,S1150,253,Auchareoch,0.750239192,0.041072838,0.041072838
Great Britain,51.3193,-2.7507,S1167,205,Aveline's Hole,3.929517765,0.165411494,0.165411494
Great Britain,51.2279,-2.6703,S1182,113,Badger Hole,3.828121486,0.274570753,0.274570753
Great Britain,57.0536,-2.4402,S1188,0,Balbridie,1.641448563,0.262007298,0.262007298
Great Britain,56.2152,-3.153,S1189,0,Balfarg Riding School,0.937732257,0.095773333,0.095773333
Great Britain,54.2078,-4.6607,S1192,0,"Ballaharra, IOM",1.649351133,0.025956799,0.025956799
Ireland,52.9805,-6.6748,S1194,0,Ballintruer More,0.196308119,0.268419183,0.556827875
Ireland,52.1,-7.71667,S1196,0,Ballynamintra,0.984969301,0.088106974,0.088106974
Ireland,54.2836,-9.3866,S1197,84,Ballyglass,0.202197706,0.013749771,0.013749771
Ireland,55.0017,-6.4042,S1198,0,Ballymacaldrack,0.26625148,0.123547049,0.230478179
Ireland,54.1521,-6.3728,S1199,0,Ballymacdermot,0.332376021,0.116296419,0.116296419
Ireland,54.8216,-6.4579,S1200,0,Ballymena,0.078388101,0.014442285,0.405810482
Ireland,54.6958,-6.8475,S1201,0,Ballynagilly,0.27889995,0.287441237,0.408751789
Ireland,54.1521,-6.3728,S1202,0,Ballyutoag,0.332376021,0.116296419,0.116296419
Great Britain,53.2755,-1.5921,S1213,10,Bar Brook,4.047827274,0.750380355,0.964391421
Great Britain,58.9935,-3.2079,S1220,0,Barnhouse,1.533723226,0.011581235,0.011581235
Great Britain,51.6811,-1.25507,S1223,108,Barrow Hills,4.351941845,0.288135233,0.79167308
Ireland,54.702,-6.9373,S1247,124,Beaghmore,0.361092257,0.286873779,0.364940386
Great Britain,51.4083,-1.9028,S1255,43,Beckhampton,3.988200497,0.594134904,0.594134904
Great Britain,53.3362,-4.4604,S1256,0,Bedd Branwen,2.009769531,0.097046647,0.097046647
Great Britain,56.5148,-4.1635,S1270,203,Ben Lawers,0.00670341,0.190791938,0.517729962
Great Britain,57.5231,-7.2848,S1293,432,Bharpa Carinish,1.729658617,0.014564958,0.014564958
Great Britain,55.6339,-3.57857,S1295,141,Biggar Common,1.038737359,0.177775798,0.383141848
Great Britain,50.6244,-2.07063,S1316,0,Blashenwell,3.196250566,0.028953497,0.028953497
Great Britain,50.3333,-4,S1318,103,Bob's Cave,3.42217188,0.022277219,0.022277219
Great Britain,57.6018,-3.29855,S1324,170,Boghead,1.061812769,0.119450988,0.119450988
Great Britain,55.7295,-6.4203,S1333,0,Bolsay Farm,0.983850806,0.019955132,0.019955132
Great Britain,51.0306,-1.45223,S1355,43,Braishfield,3.674685236,0.113331857,0.113331857
Great Britain,51.235,-2.6789,S1364,136,Bridged Pot,3.836256296,0.265660811,0.265660811
Great Britain,51.2066,-2.41,S1365,102,Bridgemere,3.782828025,0.418984519,0.418984519
Great Britain,50.4947,-3.6709,S1371,0,Broken Cave,3.404402297,0.130613314,0.130613314
Great Britain,51.0167,0.9667,S1376,3,Brook,4.224408208,0.024276462,0.024276462
Great Britain,51.0306,-1.4523,S1377,43,Broom Hill ,3.674671224,0.113323113,0.113323113
Great Britain,53.4519,-1.6626,S1379,25,Broomhead Moor,3.875892301,0.683935762,0.96861034
Great Britain,55.6699,-3.4684,S1380,184,Brownsbank Farm,1.065037643,0.116863936,0.325970014
Great Britain,51.7613,-0.0016,S1381,0,Broxbourne,4.844417429,0.494041955,0.494041955
Great Britain,52.5515,-3.2302,S1387,87,Brynderwen Farm,3.28597529,0.177516096,0.697880885
Great Britain,57.4735,-4.072,S1393,217,Bulnuaran of Clava,0.280304549,0.065471597,0.065471597
Great Britain,51.1789,-2.8685,S1402,99,Burtle Bridge ,3.809891438,0.139161988,0.139161988
Great Britain,52.2741,-0.29459,S1403,0,Burwell,5.200660509,0.042688463,0.684045534
Great Britain,53.2546,-1.9251,S1406,30,Buxton 2,3.829047758,0.780752841,0.780752841
Great Britain,56.012,-6.2377,S1424,289,Caisteal Nan Gillean II,0.871491124,0.02247338,0.02247338
Great Britain,56.0115,-6.24529,S1425,300,Caisteal,0.879012228,0.020198131,0.020198131
Great Britain,53.9922,-0.7308,S1432,0,Callis Wold,4.184660458,0.273980011,0.273980011
Great Britain,57.0313,-6.0135,S1433,397,Camas Daraich,0.387979489,0.007343739,0.007343739
Great Britain,58.3812,-3.2656,S1443,0,Camster,1.203671896,0.08804091,0.08804091
Great Britain,57.4817,-4.2486,S1446,186,Canal Road,0.129297453,0.015763455,0.015763455
Great Britain,53.2295,-4.2639,S1452,184,Capel Eithin,2.198998715,0.051768536,0.051768536
Great Britain,56.406,-5.4828,S1459,542,Carding Mill Bay,0.22498151,0.003891658,0.003891658
Great Britain,50.2203,-5.2471,S1462,0,Carn Brea,3.160058654,0.075495818,0.075495818
Ireland,54.7386,-6.8168,S1463,109,Carnanbane,0.280094477,0.299558968,0.388230679
Great Britain,56.007,-3.543,S1469,0,Carriden,0.746783437,0.035816002,0.035816002
Ireland,54.0475,-8.367,S1471,53,Carrowkeel,0.287355611,0.073880068,0.215590981
Ireland,54.228,-8.57974,S1472,110,Carrowmore,0.429553167,0.01640918,0.01640918
Great Britain,55.1225,-3.6153,S1473,445,Carzield,1.310312949,0.134719514,0.134719514
Great Britain,57.4776,-4.2267,S1485,138,Castle Street,0.143337326,0.020136904,0.020136904
Ireland,55.1151,-6.6644,S1486,0,Castleroe,0.404650684,0.012414967,0.096247446
Great Britain,50.3697,-4.1275,S1492,0,Cattedown,3.521686484,0.014264817,0.014264817
Great Britain,56.0847,-3.8703,S1528,0,Chapelfield,0.51090754,0.039370062,0.039370062
Great Britain,51.25,-2.8333,S1540,142,Chelm's Combe,3.87384833,0.167124525,0.167124525
Great Britain,51.4314,-1.9527,S1547,72,Cherhill,4.00800467,0.54012651,0.54012651
Great Britain,51.7036,-0.612,S1549,0,Chesham,4.554605101,0.421464739,0.902556803
Great Britain,56.2314,-4.20353,S1559,272,Claish Farm,0.259999111,0.384848817,0.384848817
Great Britain,56.5482,-3.3681,S1561,0,Cleaven Dyke,0.646969701,0.018561651,0.187671491
Great Britain,56.376,-5.437,S1562,666,Cleigh,0.178680721,0.015008005,0.015008005
Ireland,53.665,-7.40924,S1563,28,Clonava Townland,0.445596324,0.387404327,1.060607975
Great Britain,56.0155,-6.23501,S1567,249,Cnoc Coig,0.868117083,0.020321528,0.020321528
Great Britain,56.0674,-6.21,S1568,346,Cnoc Sligeach,0.833935088,0.026746957,0.026746957
Great Britain,50.9774,-1.1324,S1597,34,Corhampton,3.700799133,0.131884195,0.131884195
Great Britain,55.8,-6.4557,S1608,116,Coulererach,1.052663174,0.006026118,0.006026118
Great Britain,56.089,-3.90445,S1630,0,Cowie Road,0.49046049,0.069210731,0.069210731
Great Britain,56.1259,-5.2407,S1632,21,Crarae,0.117876448,0.012991382,0.012991382
