Country,Latitude,Longitude,SiteID,Elevation,SiteName,distance_lakes_europeDistance,distance_lakesDistance,distance_rivers_europeDistance,distance_rivers_lake_centerlinesDistance,distance_landDistance
Great Britain,51.9691,-5.0823,S1010,204,Abermawr I,1.81489096843,2.82561557987,1.66273642941,2.82561557987,0.00899077304797
Great Britain,51.68,-1.2613,S1011,124,Abingdon,4.34953601245,5.78666818238,0.290760275141,5.78666818238,0.788970468395
Great Britain,50.9969,-0.8798,S1040,0,adjacent to barrows excavated 1973-5,3.79890201553,6.00720326436,0.960166339756,6.00720326436,0.16468378214
Great Britain,56.9485,-7.5241,S1072,0,Alt Chrysal,1.80437003084,2.42957679527,1.93071159371,2.42957679527,0.0173113979794
Ireland,54.568,-7.0367,S1073,128,Altanagh,0.64116811563,0.425577039912,0.14027270048,0.425577039912,0.476693764381
Great Britain,52.5563,-0.2902,S1075,0,Alton Longville,5.46598476723,5.26159320618,0.249975544804,5.26159320618,0.44640994299
Great Britain,57.6368,-6.2042,S1081,160,An Corran,0.654730266369,1.41188304615,1.75892938465,1.41188304615,0.0226994008732
Great Britain,54.1014,-6.6173,S1087,0,Annaghmare,0.912944818541,0.411393114794,0.202493397917,0.411393114794,0.271238358091
Great Britain,53.3446,-1.2053,S1089,124,Anston Stones Cave,4.28963041701,5.10378582193,0.474781718266,5.10378582193,0.596687128904
Great Britain,51.4899,-0.2354,S1090,0,Hammersmith,4.49940051892,5.27760333061,0.677581309364,5.27760333061,0.621020699333
Great Britain,51.5011,-0.1513,S1091,0,Antler mattock series,4.54508352109,5.19281468293,0.686098410434,5.19281468293,0.537974747549
Ireland,52.8711,-8.1496,S1107,165,Ardcrony,1.01249231355,0.143276323934,0.304256956206,0.143276323934,0.633360816991
Great Britain,55.9697,-4.9439,S1108,101,Ardnadam,0.319347002021,0.95753324099,0.666053364379,0.95753324099,0.016717182777
Great Britain,53.2546,-1.9251,S1109,30,area with distinct areas of Meso and Neo occupation and structures,3.82904775803,4.54062558388,1.01229973358,4.54062558388,0.780752840853
Ireland,54.3462,-6.662,S1120,38,Armagh,0.991742322632,0.18942909597,0.077907628638,0.18942909597,0.447563911525
Great Britain,52.6056,1.30667,S1122,7,Arminghall,4.18421901894,3.668966763,0.936397088846,3.668966763,0.299457355896
Great Britain,51.8561,-1.56584,S1127,122,Ascott-under-Wychwood,4.46929687092,5.43487903764,0.394284332938,5.43487903764,0.820355204165
Ireland,52.933,-8.1885,S1130,272,Ashleypark,0.949963239815,0.082907590123,0.347972440575,0.082907590123,0.619853475025
Great Britain,55.4749,-5.1728,S1150,253,Auchareoch,0.750239192325,1.31450780283,1.20666789971,1.31450780283,0.0410728377398
Great Britain,51.3193,-2.7507,S1167,205,Aveline's Hole,3.92951776502,4.79375025186,0.30955714642,4.79375025186,0.165411494462
Great Britain,51.2279,-2.6703,S1182,113,Badger Hole,3.82812148626,4.91457619548,0.389058390091,4.91457619548,0.274570753177
Great Britain,57.0536,-2.4402,S1188,0,Balbridie,1.64144856346,1.92441622216,1.07513787065,1.92441622216,0.262007298372
Great Britain,56.2152,-3.153,S1189,0,Balfarg Riding School,0.937732257363,1.65726965461,0.227545455898,1.65726965461,0.0957733334494
Great Britain,54.2078,-4.6607,S1192,0,"Ballaharra, IOM",1.81088655636,1.64935113332,1.70496971565,1.64935113332,0.025956798724
Ireland,52.9805,-6.6748,S1194,0,Ballintruer More,0.196308119037,1.29646389387,0.268419182623,1.29646389387,0.556827874661
Ireland,52.1,-7.71667,S1196,0,Ballynamintra,1.55837916959,0.984969301298,0.21424752834,0.984969301298,0.0881069741848
Ireland,54.2836,-9.3866,S1197,84,Ballyglass,0.202197706466,1.29330048051,0.739709347379,1.29330048051,0.0137497709072
Ireland,55.0017,-6.4042,S1198,0,Ballymacaldrack,1.39020694521,0.26625147962,0.123547048933,0.26625147962,0.230478178577
