row_id,xcoord,ycoord
0,17.62672,60.31639
1,17.64682,60.31753
2,17.66188,60.31452
3,17.66969,60.30581
4,17.67709,60.2932
5,17.7033,60.26919
6,17.70509,60.25821
7,17.70436,60.24836
8,17.71656,60.22964
9,17.71844,60.21678
10,17.69793,60.19888
11,17.60621,60.15347
12,17.59278,60.13353
13,17.60377,60.11905
14,17.63494,60.09764
15,17.65113,60.08161
16,17.66342,60.06265
17,17.67066,60.04458
18,17.67872,60.03168
19,17.70753,60.01952
20,17.71632,60.00747
21,17.70883,59.99095
22,17.68393,59.97455
23,17.65447,59.95905
24,17.62159,59.93448
25,17.58513,59.92202
26,17.57276,59.91307
27,17.58009,59.89932
28,17.66383,59.85318
29,17.66863,59.84024
30,17.66814,59.82087
31,17.66017,59.80093
32,17.6316,59.78653
33,17.63018,59.78558
34,48.00733,46.34577
35,48.02394,46.31794
36,48.04518,46.28823
37,48.07374,46.26594
38,48.12403,46.22036
39,48.16041,46.18065
40,48.17701,46.14936
41,48.18385,46.12686
42,48.2129,46.08926
43,48.22788,46.06452
44,48.2422,46.03587
45,48.29705,45.9499
46,48.32765,45.90868
47,48.36492,45.87629
48,34.05291,54.4711
49,34.03745,54.48379
50,34.01759,54.49339
51,33.99147,54.49868
52,33.89527,54.49527
53,33.87159,54.50023
54,33.85825,54.51162
55,33.85304,54.52619
56,33.83839,54.53612
57,33.7588,54.53417
58,33.70086,54.54336
59,33.63893,54.53754
60,33.60401,54.54165
61,33.57097,54.54808
62,33.52394,54.55321
63,33.51222,54.55752
64,33.50953,54.56981
65,33.51515,54.61473
66,33.51319,54.63117
67,33.51637,54.6433
68,33.54786,54.66812
69,33.5608,54.68521
70,33.57537,54.68891
71,33.59588,54.6874
72,33.63453,54.67731
73,33.67628,54.68643
74,33.71795,54.69156
75,33.79558,54.6944
76,33.87452,54.70409
77,33.9402,54.70694
78,33.95436,54.71011
79,33.97731,54.70889
80,34.0254,54.69896
81,34.07846,54.69196
82,34.11378,54.69741
83,34.13697,54.70612
84,34.18523,54.70628
85,34.21144,54.71166
86,34.23512,54.72281
87,34.25441,54.73607
88,34.26547,54.74893
89,34.27491,54.76919
90,34.3025,54.79662
91,34.30991,54.8076
92,34.31959,54.81525
93,34.36573,54.82917
94,34.41749,54.85529
95,34.43922,54.85908
96,34.45582,54.85472
97,34.47788,54.84203
98,34.48911,54.84268
99,34.4992,54.85334
100,34.51295,54.88882
101,34.52247,54.8935
102,34.53142,54.89411
103,34.5477,54.91185
104,34.59653,54.9361
105,34.60727,54.95344
106,34.61232,54.96967
107,34.63054,54.98749
108,34.6277,55.00218
109,34.6434,55.01903
110,34.64064,55.0314
111,34.64064,55.04475
112,34.65455,55.05679
113,34.67237,55.06806
114,34.68149,55.07958
115,34.69483,55.08954
116,34.72242,55.09707
117,34.75522,55.09638
118,34.78126,55.08641
119,34.79396,55.07128
120,34.79493,55.05785
121,34.79086,55.04068
122,34.79176,55.01651
123,34.80307,54.99339
124,34.82472,54.97891
125,34.84474,54.97012
126,34.85279,54.96084
127,34.86061,54.95547
128,34.88022,54.95604
129,34.90699,54.95108
130,34.95387,54.91226
131,34.99317,54.89936
132,35.01222,54.885
133,35.0241,54.86701
134,35.02654,54.84341
135,35.05014,54.82665
136,35.06324,54.78685
137,35.07586,54.77953
138,35.10231,54.77603
139,35.1421,54.76577
140,35.19215,54.75947
141,35.285,54.7718
142,35.33481,54.76276
143,35.40333,54.77497
144,35.44435,54.77001
145,35.47332,54.75715
146,35.48243,54.74405
147,35.48707,54.73359
148,35.52467,54.72134
149,35.53273,54.7128
150,35.53793,54.70356
151,35.55079,54.69628
152,35.56715,54.69392
153,35.58107,54.69628
154,35.59474,54.70791
155,35.61069,54.72761
156,35.62721,54.74311
157,35.64243,54.74457
158,35.65846,54.739
159,35.69646,54.73664
160,35.7339,54.72724
161,35.77296,54.72492
162,35.81666,54.70946
163,35.8982,54.6979
164,35.92335,54.68895
165,35.93629,54.67577
166,35.94728,54.65982
167,35.95151,54.64126
168,35.94654,54.60668
169,35.95411,54.59724
170,35.96648,54.58959
171,35.97584,54.57868
172,35.98658,54.57071
173,36.02377,54.56904
174,36.05055,54.55956
175,36.07602,54.5445
176,36.12477,54.51142
177,38.13526,53.84561
178,38.14861,53.8382
179,38.15235,53.82026
180,38.14283,53.78734
181,38.12257,53.75471
182,38.10084,53.73749
183,38.07114,53.74091
184,38.03199,53.75821
185,37.99195,53.77928
186,37.96046,53.79206
187,37.93328,53.79633
188,37.85288,53.79833
189,37.77442,53.80484
190,37.70427,53.81509
191,37.67359,53.82543
192,37.67726,53.83389
193,37.68963,53.83926
194,37.70004,53.84663
195,37.69907,53.85993
196,37.69353,53.87543
197,37.69264,53.88809
198,37.68898,53.90143
199,37.66131,53.93769
200,37.65187,53.95482
201,37.65219,53.96931
202,37.66041,53.98184
203,37.67449,53.99046
204,37.68898,53.99559
205,37.69703,54.00194
206,37.69215,54.02871
207,37.69646,54.04336
208,37.70875,54.05484
209,37.74024,54.07005
210,37.75001,54.08202
211,37.74936,54.10521
212,37.73992,54.14033
213,37.72364,54.16901
214,37.70704,54.17691
215,37.69174,54.17642
216,37.65838,54.19798
217,37.59197,54.21841
218,37.57496,54.22891
219,37.56267,54.23395
220,37.54119,54.23045
221,37.5145,54.23037
222,37.48976,54.24364
223,37.46844,54.25902
224,37.44996,54.26382
225,37.42701,54.26411
226,37.39479,54.26854
227,37.36647,54.27538
228,37.34164,54.28726
229,37.29591,54.30296
230,37.28354,54.3142
231,37.2732,54.32046
232,37.20932,54.30622
233,37.19353,54.30044
234,37.17604,54.27424
235,37.15431,54.2617
236,37.13071,54.25137
237,37.10499,54.23607
238,37.06788,54.23135
239,37.05144,54.22573
240,37.04005,54.21573
241,37.03289,54.20287
242,37.03875,54.19111
243,37.08497,54.17503
244,37.10548,54.1599
245,37.1211,54.1367
246,37.13559,54.10855
247,37.15024,54.08609
248,37.1797,54.07079
249,37.19711,54.04019
250,37.21412,54.02904
251,37.22047,54.01537
252,37.2046,53.99299
253,37.17709,53.97321
254,37.15577,53.96597
255,37.13014,53.96381
256,37.09213,53.95645
257,37.04086,53.95132
258,36.93312,53.95987
259,36.88217,53.95673
260,36.84457,53.96503
261,36.81178,53.96271
262,36.76612,53.96532
263,36.73862,53.95962
264,36.71119,53.95669
265,36.66391,53.97256
266,36.62745,53.97289
267,36.60564,53.98404
268,36.57016,53.98078
269,36.5442,53.98509
270,36.51254,53.968
271,36.47901,53.96166
272,36.4406,53.96467
273,36.40846,53.97704
274,36.3838,53.99022
275,36.34848,53.99946
276,36.33741,54.01146
277,36.30926,54.04068
278,37.43247,53.44701
279,37.4463,53.42373
280,37.44874,53.39712
281,37.43507,53.36595
282,37.4201,53.33832
283,37.4192,53.30736
284,37.4065,53.29173
285,37.38494,53.27977
286,37.36354,53.27582
287,37.34547,53.26948
288,37.3318,53.25194
289,37.30926,53.22822
290,37.23024,53.187
291,37.20777,53.16665
292,37.20289,53.14745
293,37.20875,53.11709
294,37.1941,53.09496
295,37.18881,53.06851
296,37.17856,53.0622
297,37.16277,53.05622
298,37.14625,53.04466
299,37.13608,53.03059
300,37.13559,53.01822
301,37.13803,53.00739
302,37.13502,52.99702
303,37.12436,52.98957
304,37.09116,52.98159
305,37.06398,52.96308
306,37.0503,52.95726
307,37.03907,52.95873
308,37.03224,52.96678
309,37.01922,52.97578
310,36.99252,52.97948
311,36.96412,52.98648
312,36.94646,53.00336
313,36.93336,53.01944
314,36.89877,53.03168
315,36.87208,53.07404
316,36.83961,53.08934
317,36.82228,53.12564
318,36.78834,53.13589
319,36.77882,53.16804
320,36.73951,53.18024
321,36.70899,53.19945
322,36.68051,53.22061
323,36.64112,53.24461
324,36.58302,53.29483
325,36.54282,53.31916
