Country,Latitude,Longitude,SiteID,SiteName,Slope,Profile cu,ele30m,Tangential,Aspect
Great Britain,51.96910,-5.08230,S1010,Abermawr I,7.47827,-0.00108,11.00000,-0.00141,233.23158
Great Britain,51.68000,-1.26130,S1011,Abingdon,0.78879,-0.00036,59.00000,-0.00152,241.79982
Great Britain,50.99690,-0.87980,S1040,adjacent to barrows excavated 1973-5,6.83334,0.00172,54.00000,0.00173,344.33316
Great Britain,56.94850,-7.52410,S1072,Alt Chrysal,13.02903,-0.00150,17.00000,0.00028,275.50116
Ireland,54.56800,-7.03670,S1073,Altanagh,3.95142,0.00196,181.00000,0.00080,275.78076
Great Britain,52.55630,-0.29020,S1075,Alton Longville,5.74562,-0.00211,5.00000,-0.00275,105.29366
Great Britain,57.63680,-6.20420,S1081,An Corran,5.66940,-0.00194,2.00000,0.00143,40.63331
Great Britain,54.10140,-6.61730,S1087,Annaghmare,3.65238,0.00000,119.00000,-0.00000,329.55670
Great Britain,53.34460,-1.20530,S1089,Anston Stones Cave,5.15504,0.00015,105.00000,-0.00185,238.38181
Great Britain,51.48990,-0.23540,S1090,Hammersmith,5.96952,0.00285,3.00000,-0.00288,248.17577
Great Britain,51.50110,-0.15130,S1091,Antler mattock series,0.43768,0.00284,22.00000,-0.00013,31.96929
Ireland,52.87110,-8.14960,S1107,Ardcrony,2.00465,0.00176,88.00000,0.00188,67.55156
Great Britain,55.96970,-4.94390,S1108,Ardnadam,11.18564,0.00206,59.00000,0.00134,64.06595
Great Britain,53.25460,-1.92510,S1109,area with distinct areas of Meso and Neo occupation and structures,2.88300,-0.00329,305.00000,-0.00115,74.46852
Ireland,54.34620,-6.66200,S1120,Armagh,5.98519,-0.00084,46.00000,0.00153,297.51706
Great Britain,52.60560,1.30667,S1122,Arminghall,2.79052,-0.00080,7.00000,-0.00242,65.86907
Great Britain,51.85610,-1.56584,S1127,Ascott-under-Wychwood,3.13086,-0.00011,124.00000,0.00199,162.79678
Ireland,52.93300,-8.18850,S1130,Ashleypark,1.63211,-0.00100,92.00000,-0.00016,225.20093
Great Britain,55.47490,-5.17280,S1150,Auchareoch,3.36480,0.00183,165.00000,-0.00183,223.43031
